Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
0,6.63084,-0.00032,55.35814,-0.00001,-0.00283
0.1,6.63099,0.00062,55.35814,-0.00001,0.00547
0.2,6.63151,-0.00032,55.35814,0,-0.00279
0.3,6.63468,0.01982,55.35872,0.00003,0.17381
0.4,6.64104,0.03975,55.35872,0.00009,0.34862
0.5,6.64266,0.05219,55.35872,0.0001,0.45776
0.6,6.64527,0.06221,55.35872,0.00013,0.54567
0.7,6.6482,0.06725,55.35872,0.00015,0.58983
0.8,6.65019,0.08177,55.35872,0.00017,0.71721
0.9,6.65267,0.09148,55.36382,0.0002,0.80238
1,6.65567,0.10042,55.36382,0.00022,0.88084
1.1,6.6578,0.11961,55.36382,0.00024,1.04911
1.2,6.66009,0.12504,55.36382,0.00027,1.0968
1.3,6.66306,0.14175,55.36382,0.00029,1.24336
1.4,6.66542,0.16407,55.36823,0.00032,1.43912
1.5,6.66752,0.16025,55.36823,0.00033,1.40561
1.6,6.6703,0.1827,55.36823,0.00036,1.60254
1.7,6.67292,0.19206,55.36823,0.00039,1.68457
1.8,6.67507,0.19766,55.36823,0.00041,1.73369
1.9,6.67768,0.21256,55.36823,0.00043,1.86445
2,6.68058,0.21926,55.3707,0.00046,1.92316
2.1,6.68269,0.23942,55.3707,0.00048,2.10004
2.2,6.68521,0.24252,55.3707,0.0005,2.1272
2.3,6.68818,0.26237,55.3707,0.00053,2.30126
2.4,6.69035,0.2816,55.3707,0.00055,2.46998
2.5,6.69275,0.28862,55.3707,0.00057,2.53157
2.6,6.69558,0.30842,55.37468,0.0006,2.70525
2.7,6.69793,0.32457,55.37468,0.00062,2.84691
2.8,6.70025,0.3273,55.37468,0.00064,2.87082
2.9,6.70302,0.34126,55.37468,0.00067,2.99327
3,6.7056,0.353,55.37468,0.00069,3.09625
3.1,6.70778,0.36242,55.37468,0.00071,3.17885
3.2,6.71046,0.37405,55.37762,0.00074,3.28089
3.3,6.713,0.39129,55.37762,0.00076,3.43207
3.4,6.7152,0.40878,55.37762,0.00078,3.58554
3.5,6.7178,0.43038,55.37762,0.00081,3.77496
3.6,6.72046,0.44941,55.37762,0.00083,3.94192
3.7,6.72271,0.46532,55.3812,0.00085,4.08145
3.8,6.72521,0.47182,55.3812,0.00088,4.13841
3.9,6.72802,0.49584,55.3812,0.0009,4.34914
4,6.73027,0.49467,55.3812,0.00092,4.3389
4.1,6.73273,0.5019,55.3812,0.00095,4.40224
4.2,6.73562,0.51931,55.3812,0.00097,4.55495
4.3,6.7378,0.5306,55.38586,0.00099,4.65399
4.4,6.74021,0.55588,55.38586,0.00102,4.87578
4.5,6.74307,0.57882,55.38586,0.00104,5.07699
4.6,6.74538,0.59873,55.38586,0.00107,5.25158
4.7,6.74764,0.61253,55.38586,0.00109,5.37267
4.8,6.75058,0.64054,55.38586,0.00111,5.61829
4.9,6.75305,0.64729,55.39746,0.00114,5.67752
