i	xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	delta_xi	theta	T	k	
0	0.125	-0.9	0.280875	0.0	0.125	-0.9	0.280875	-0.9	1.0	-0.561079588773	400.0	-82.1716360111
1	0.125	-0.9	0.280875	0.0	0.125	-0.9	0.280875	0.9	1.0	-0.59202101633	400.0	132.081152567
2	0.125	-0.9	0.280875	0.0	0.125	-0.9	0.586625	-0.9	1.0	-0.226904341264	390.954773869	-8.39145798504
3	0.125	-0.9	0.280875	0.0	0.125	-0.9	0.586625	0.9	1.0	-0.245476839405	395.477386935	-9.30796767655
4	0.125	-0.9	0.280875	0.0	0.125	0.9	0.280875	-0.9	0.999905751156	-0.548753675158	400.0	-132.081152567
5	0.125	-0.9	0.280875	0.0	0.125	0.9	0.280875	0.9	1.0	-0.579696433471	400.0	82.1716360111
6	0.125	-0.9	0.280875	0.0	0.125	0.9	0.586625	-0.9	1.0	-0.528986577754	335.778894472	9.30796767655
7	0.125	-0.9	0.280875	0.0	0.125	0.9	0.586625	0.9	1.0	-0.612349438944	337.587939698	8.39145798504
8	0.125	-0.9	0.280875	0.0	0.25	-0.9	0.280875	-0.9	1.0	-0.571236672846	400.0	1321.18518362
9	0.125	-0.9	0.280875	0.0	0.25	-0.9	0.280875	0.9	0.99980100445	-0.544515420182	400.0	3726.08725668
10	0.125	-0.9	0.280875	0.0	0.25	-0.9	0.586625	-0.9	1.0	-0.569202073205	400.0	-12.7341527386
11	0.125	-0.9	0.280875	0.0	0.25	-0.9	0.586625	0.9	1.0	-0.569048099727	400.0	-12.7191923504
12	0.125	-0.9	0.280875	0.0	0.25	0.9	0.280875	-0.9	1.0	-0.579122930109	400.0	-3726.08725668
13	0.125	-0.9	0.280875	0.0	0.25	0.9	0.280875	0.9	1.0	-0.570373296965	400.0	-1321.18518362
14	0.125	-0.9	0.280875	0.0	0.25	0.9	0.586625	-0.9	1.0	-0.568023271272	400.0	12.7191923504
15	0.125	-0.9	0.280875	0.0	0.25	0.9	0.586625	0.9	1.0	-0.567850911972	400.0	12.7341527386
16	0.125	-0.9	0.280875	0.9	0.125	-0.9	0.280875	-0.9	1.0	0.400124618996	400.0	162.895293327
17	0.125	-0.9	0.280875	0.9	0.125	-0.9	0.280875	0.9	0.99993576382	0.371101420809	400.0	-261.834851232
18	0.125	-0.9	0.280875	0.9	0.125	-0.9	0.586625	-0.9	0.205304255652	6.85553593544e-05	400.0	16.6350467907
19	0.125	-0.9	0.280875	0.9	0.125	-0.9	0.586625	0.9	0.205304255652	6.85553593537e-05	400.0	18.4519159963
20	0.125	-0.9	0.280875	0.9	0.125	0.9	0.280875	-0.9	1.0	0.412294261449	400.0	261.834851232
21	0.125	-0.9	0.280875	0.9	0.125	0.9	0.280875	0.9	1.0	0.382573461917	400.0	-162.895293327
22	0.125	-0.9	0.280875	0.9	0.125	0.9	0.586625	-0.9	0.775578336383	0.264840645864	400.0	-18.4519159963
23	0.125	-0.9	0.280875	0.9	0.125	0.9	0.586625	0.9	0.859789402407	0.296544263754	400.0	-16.6350467907
24	0.125	-0.9	0.280875	0.9	0.25	-0.9	0.280875	-0.9	1.0	0.391618123634	400.0	-2619.08924385
25	0.125	-0.9	0.280875	0.9	0.25	-0.9	0.280875	0.9	1.0	0.402037185881	400.0	-7386.5156653
26	0.125	-0.9	0.280875	0.9	0.25	-0.9	0.586625	-0.9	1.0	0.389355750507	400.0	25.2439119668
27	0.125	-0.9	0.280875	0.9	0.25	-0.9	0.586625	0.9	1.0	0.389513363732	400.0	25.2142548132
28	0.125	-0.9	0.280875	0.9	0.25	0.9	0.280875	-0.9	0.999919976864	0.36979086846	400.0	7386.5156653
29	0.125	-0.9	0.280875	0.9	0.25	0.9	0.280875	0.9	1.0	0.391387502316	400.0	2619.08924385
30	0.125	-0.9	0.280875	0.9	0.25	0.9	0.586625	-0.9	1.0	0.39057193388	400.0	-25.2142548132
31	0.125	-0.9	0.280875	0.9	0.25	0.9	0.586625	0.9	1.0	0.390717674757	400.0	-25.2439119668
32	0.125	-0.9	0.586625	0.0	0.125	-0.9	0.280875	-0.9	1.0	-0.412039059563	345.728643216	-254.645583447
33	0.125	-0.9	0.586625	0.0	0.125	-0.9	0.280875	0.9	1.0	-0.404019324758	333.969849246	409.312553461
34	0.125	-0.9	0.586625	0.0	0.125	-0.9	0.586625	-0.9	1.0	-0.23131648035	363.819095477	-26.0046874846
35	0.125	-0.9	0.586625	0.0	0.125	-0.9	0.586625	0.9	1.0	-0.233401598839	366.532663317	-28.8449028735
36	0.125	-0.9	0.586625	0.0	0.125	0.9	0.280875	-0.9	1.0	-0.315810612249	350.251256281	-409.312553461
37	0.125	-0.9	0.586625	0.0	0.125	0.9	0.280875	0.9	1.0	-0.36075498041	338.492462312	254.645583447
38	0.125	-0.9	0.586625	0.0	0.125	0.9	0.586625	-0.9	1.0	-0.48821829719	329.447236181	28.8449028735
39	0.125	-0.9	0.586625	0.0	0.125	0.9	0.586625	0.9	1.0	-0.480625395899	329.447236181	26.0046874846
40	0.125	-0.9	0.586625	0.0	0.25	-0.9	0.280875	-0.9	1.0	-0.330842638681	342.110552764	4094.28348098
41	0.125	-0.9	0.586625	0.0	0.25	-0.9	0.280875	0.9	1.0	-0.247463147307	349.346733668	11546.9486736
42	0.125	-0.9	0.586625	0.0	0.25	-0.9	0.586625	-0.9	1.0	-0.297223753184	342.110552764	-39.4624704003
43	0.125	-0.9	0.586625	0.0	0.25	-0.9	0.586625	0.9	1.0	-0.295357638092	342.110552764	-39.416108943
44	0.125	-0.9	0.586625	0.0	0.25	0.9	0.280875	-0.9	1.0	-0.311781284835	336.683417085	-11546.9486736
45	0.125	-0.9	0.586625	0.0	0.25	0.9	0.280875	0.9	1.0	-0.321369628736	342.110552764	-4094.28348098
46	0.125	-0.9	0.586625	0.0	0.25	0.9	0.586625	-0.9	1.0	-0.281672114917	342.110552764	39.416108943
47	0.125	-0.9	0.586625	0.0	0.25	0.9	0.586625	0.9	1.0	-0.279316435577	342.110552764	39.4624704003
48	0.125	-0.9	0.586625	0.9	0.125	-0.9	0.280875	-0.9	1.0	-0.389994238746	344.824120603	-242.285412432
