xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.62989	 -0.62807	 0.78403	 0.78522	 0.61752	 -0.86406	 0.91472	 -0.87942	 311.31414	 0.00000 	 16.68897
	 0.60320	 -0.79879	 0.88467	 0.03728	 0.73812	 -0.00672	 0.94053	 -0.47721	 342.60535	 0.00000 	 0.00000
	 0.44573	 -0.46835	 0.95151	 0.76103	 0.40612	 0.04985	 0.86952	 -0.35427	 339.78069	 -0.00135 	 74.05775
	 0.64403	 -0.86640	 0.79381	 0.53200	 0.43245	 0.85725	 0.96990	 -0.41341	 359.20510	 0.00000 	 0.00000
	 0.43274	 -0.44903	 0.88307	 0.18688	 0.39174	 -0.07974	 0.97557	 -0.81605	 392.95862	 -0.05928 	 105.73196
	 0.73610	 -0.88651	 0.95143	 0.05614	 0.70257	 0.02182	 0.80210	 -0.18946	 402.69236	 -0.18751 	 57.25919
	 0.44437	 -0.46103	 0.94386	 0.50200	 0.49962	 0.34390	 0.82020	 -0.58441	 373.34060	 -0.20312 	 87.70805
	 0.73179	 -0.68872	 0.95303	 0.58617	 0.42561	 -0.18756	 0.82200	 -0.45398	 409.07167	 -0.36102 	 61.76200
	 0.60705	 -0.10122	 0.79963	 0.67512	 0.49678	 0.17795	 0.85089	 -0.45095	 319.42942	 0.00000 	 22.36613
	 0.45397	 -0.59690	 0.92837	 0.30368	 0.72413	 -0.89187	 0.94798	 -0.01940	 340.80336	 -0.01523 	 70.32899
	 0.55979	 -0.24300	 0.77050	 0.16697	 0.51748	 0.82374	 0.76515	 -0.79725	 305.20466	 0.00000 	 19.86849
	 0.53654	 -0.62952	 0.77085	 0.03941	 0.61533	 0.30207	 0.95721	 -0.35542	 345.75664	 0.00708 	 36.81201
	 0.70753	 -0.79970	 0.99045	 0.17088	 0.66549	 0.01446	 0.90674	 -0.86207	 314.23308	 0.00000 	 30.59177
	 0.45737	 -0.39235	 0.82147	 0.82483	 0.61884	 -0.82170	 0.84681	 -0.77890	 376.10029	 0.00939 	 34.62850
	 0.71920	 -0.29143	 0.88536	 0.83917	 0.47031	 -0.60772	 0.91876	 -0.42890	 317.94900	 -0.00000 	 18.99071
	 0.67159	 -0.12105	 0.87221	 0.55557	 0.46046	 0.80721	 0.90956	 -0.44917	 410.86408	 0.00000 	 0.00000
	 0.62143	 -0.64231	 0.95864	 0.71695	 0.61444	 -0.42140	 0.88296	 -0.45537	 409.17067	 -0.19807 	 51.70956
	 0.44482	 -0.28973	 0.84036	 0.81759	 0.71763	 -0.48063	 0.96578	 -0.61415	 387.56299	 0.00891 	 33.99274
	 0.51122	 -0.26540	 0.90290	 0.47525	 0.40784	 0.15010	 0.83536	 -0.33290	 320.33366	 0.00000 	 45.78194
	 0.57500	 -0.72062	 0.86817	 0.59462	 0.42016	 -0.33846	 0.79310	 -0.48725	 391.56862	 -0.34318 	 52.90787
	 0.46020	 -0.34461	 0.84119	 0.86388	 0.59948	 0.89827	 0.89565	 -0.62572	 402.51552	 0.00871 	 29.16736
	 0.67436	 -0.86266	 0.80685	 0.01335	 0.52399	 0.79095	 0.96230	 -0.64855	 369.42848	 -0.43162 	 20.80304
	 0.67454	 -0.63530	 0.77802	 0.25651	 0.61446	 0.72922	 0.85184	 -0.33514	 374.73669	 -0.14740 	 13.90142
	 0.48942	 -0.10517	 0.75530	 0.18726	 0.60373	 0.76294	 0.79863	 -0.62298	 391.23962	 0.00944 	 26.72904
	 0.44120	 -0.12118	 0.87953	 0.18035	 0.54923	 0.33831	 0.86184	 -0.36342	 350.47806	 0.00000 	 0.00000
	 0.62729	 -0.00292	 0.82824	 0.03175	 0.56397	 0.00593	 0.94276	 -0.27880	 327.18996	 0.00000 	 0.00000
	 0.64773	 -0.48027	 0.77146	 0.22462	 0.63824	 -0.64131	 0.88693	 -0.86567	 358.41129	 0.00985 	 19.19179
	 0.45511	 -0.72316	 0.76041	 0.47036	 0.43593	 -0.24746	 0.85205	 -0.67998	 394.98670	 0.00988 	 26.81595
