xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.46278	 -0.68322	 0.90261	 0.79959	 0.58543	 -0.66058	 0.89039	 -0.34815	 0.00000
	 0.39840	 -0.87611	 0.83025	 0.32851	 0.63172	 0.85940	 0.79429	 -0.36083	 0.00000
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.35521
	 0.44762	 -0.31972	 0.98597	 0.06523	 0.73018	 -0.59855	 0.94721	 -0.25550	 0.00000
	 0.42182	 -0.77657	 0.95591	 0.65702	 0.54954	 -0.73182	 0.83357	 -0.53917	 -0.13579
	 0.74106	 -0.60196	 0.79472	 0.31282	 0.49770	 0.70899	 0.97155	 -0.04314	 -0.23183
	 0.51199	 -0.76200	 0.81971	 0.86995	 0.49298	 0.77935	 0.88007	 -0.79711	 0.00000
	 0.55183	 -0.85382	 0.95629	 0.59514	 0.54915	 -0.38559	 0.91396	 -0.86653	 -0.11694
	 0.73847	 -0.72045	 0.83810	 0.58124	 0.47483	 0.35421	 0.96340	 -0.18420	 0.00000
	 0.51000	 -0.42897	 0.75943	 0.53530	 0.58430	 -0.87314	 0.91703	 -0.42261	 0.00738
	 0.55425	 -0.88095	 0.78410	 0.45558	 0.49718	 -0.12542	 0.86642	 -0.81004	 0.00000
	 0.69126	 -0.42253	 0.78511	 0.40285	 0.39630	 0.36746	 0.78405	 -0.41775	 0.00000
	 0.67124	 -0.15821	 0.83016	 0.26920	 0.49955	 0.78687	 0.92183	 -0.33939	 0.00000
	 0.66552	 -0.04909	 0.80243	 0.38409	 0.40860	 0.27015	 0.84571	 -0.72311	 0.00000
	 0.48904	 -0.41778	 0.76054	 0.20539	 0.72953	 0.74909	 0.86217	 -0.54102	 0.00000
	 0.56816	 -0.60062	 0.98797	 0.32414	 0.71954	 -0.71962	 0.93307	 -0.23563	 -0.02051
	 0.40201	 -0.54258	 0.78833	 0.70075	 0.59120	 0.68463	 0.78056	 -0.15784	 0.00000
	 0.67582	 -0.02664	 0.82871	 0.18190	 0.56224	 -0.56918	 0.85298	 -0.78151	 0.00000
	 0.59827	 -0.79653	 0.77585	 0.30959	 0.44524	 -0.11589	 0.76908	 -0.82258	 0.00000
	 0.46386	 -0.08822	 0.80246	 0.14269	 0.41600	 0.43658	 0.91789	 -0.79125	 0.00000
	 0.51731	 -0.48927	 0.96829	 0.12963	 0.44684	 0.51896	 0.79737	 -0.06086	 0.00000
	 0.71100	 -0.77279	 0.90240	 0.65369	 0.37904	 -0.28764	 0.85965	 -0.81677	 -0.18093
	 0.40043	 -0.75383	 0.94043	 0.89046	 0.74479	 -0.79290	 0.98352	 -0.88873	 0.00875
	 0.62754	 -0.13551	 0.92195	 0.66269	 0.71256	 -0.83464	 0.90776	 -0.86577	 0.00000
	 0.52265	 -0.84531	 0.96905	 0.41172	 0.52201	 0.52462	 0.79517	 -0.87976	 -0.09069
	 0.38172	 -0.73658	 0.85513	 0.40159	 0.39692	 -0.85226	 0.82412	 -0.09949	 0.00000
	 0.56563	 -0.62180	 0.85465	 0.00560	 0.65856	 -0.74786	 0.93455	 -0.52350	 -0.15039
	 0.68134	 -0.67306	 0.93181	 0.35189	 0.51748	 0.47697	 0.96755	 -0.78913	 0.00000
	 0.53506	 -0.62178	 0.89053	 0.25286	 0.52652	 0.54807	 0.79802	 -0.31752	 0.00000
	 0.54651	 -0.38321	 0.99337	 0.26382	 0.69603	 -0.42409	 0.81841	 -0.61263	 0.00870
	 0.69604	 -0.46426	 0.79715	 0.58079	 0.46801	 -0.40852	 0.87822	 -0.05618	 0.00000
	 0.54493	 -0.76650	 0.95483	 0.45945	 0.65542	 -0.50759	 0.95633	 -0.41906	 -0.13655
	 0.72785	 -0.11520	 0.77085	 0.66005	 0.53053	 0.22510	 0.81524	 -0.00917	 0.00000
	 0.57758	 -0.43014	 0.89678	 0.39528	 0.55879	 -0.63848	 0.96869	 -0.18640	 0.00000
	 0.59270	 -0.39747	 0.96490	 0.00639	 0.62201	 -0.38825	 0.97057	 -0.58008	 -0.22498
	 0.63130	 -0.70657	 0.91727	 0.34573	 0.58006	 -0.18687	 0.86869	 -0.87598	 -0.22271
	 0.54932	 -0.26786	 0.85783	 0.69089	 0.41900	 -0.35533	 0.98955	 -0.27786	 0.00000
	 0.59228	 -0.82174	 0.84543	 0.23935	 0.68795	 0.27588	 0.88965	 -0.18642	 0.00000
	 0.42677	 -0.63398	 0.77462	 0.75048	 0.48033	 -0.65125	 0.87018	 -0.13922	 0.00387
	 0.59512	 -0.87209	 0.99305	 0.77165	 0.42388	 0.33698	 0.89185	 -0.15228	 0.00000
	 0.55425	 -0.81598	 0.78379	 0.60960	 0.49718	 -0.11706	 0.86605	 -0.87097	 0.00000
	 0.72785	 -0.11520	 0.77115	 0.45114	 0.53053	 0.01800	 0.81561	 -0.01386	 0.00000
	 0.51199	 -0.76200	 0.81757	 0.86995	 0.53354	 0.77935	 0.88007	 -0.79711	 0.00000
	 0.46191	 -0.08822	 0.80246	 0.13613	 0.41600	 0.47013	 0.91789	 -0.79125	 0.00000
	 0.74106	 -0.58649	 0.79472	 0.32458	 0.50208	 0.70899	 0.97155	 -0.06778	 -0.23800
	 0.40201	 -0.54258	 0.78833	 0.68898	 0.59060	 0.68463	 0.78056	 -0.13320	 0.00000
	 0.40201	 -0.54258	 0.78833	 0.70075	 0.59036	 0.68463	 0.75530	 -0.15784	 0.00000
