l_s	l_l	R	theta	
	 0.19489	 0.19635	 0.01576	 0.47184
	 0.45538	 0.32750	 0.00419	 9.06807
	 0.32565	 0.34526	 0.00252	 16.71842
	 0.11062	 0.22541	 0.00976	 0.35696
	 0.37754	 0.49098	 0.00493	 0.20538
	 0.33963	 0.42816	 0.00497	 0.20786
	 0.30728	 0.41720	 0.02464	 0.50371
	 0.46546	 0.29945	 0.01495	 0.60756
	 0.17850	 0.35790	 0.02410	 0.30991
	 0.12899	 0.48398	 0.00502	 0.19905
	 0.42036	 0.38644	 0.00404	 8.89773
	 0.15486	 0.43485	 0.01852	 0.34148
	 0.28870	 0.13737	 0.00886	 0.34323
	 0.26037	 0.49574	 0.00895	 0.36039
	 0.16620	 0.23903	 0.00896	 0.34815
	 0.45755	 0.46092	 0.02385	 0.74337
	 0.24810	 0.16133	 0.00747	 0.29391
	 0.48665	 0.22755	 0.02339	 0.77166
	 0.30845	 0.14573	 0.01247	 0.46862
	 0.12052	 0.43549	 0.01687	 0.29335
	 0.28827	 0.21431	 0.01690	 0.59473
	 0.11488	 0.49294	 0.00579	 0.22786
	 0.23851	 0.35833	 0.00748	 0.29964
	 0.37871	 0.44733	 0.02009	 0.70913
	 0.24595	 0.30935	 0.00144	 35.74117
	 0.33791	 0.32626	 0.00136	 54.84043
	 0.37005	 0.31217	 0.01263	 0.50753
	 0.10847	 0.14849	 0.01315	 0.32423
	 0.23208	 0.27213	 0.01214	 0.47001
	 0.13998	 0.44191	 0.01373	 0.39589
	 0.15019	 0.27905	 0.00238	 8.50849
	 0.38166	 0.14841	 0.01386	 0.52000
	 0.42026	 0.42968	 0.00852	 0.34674
	 0.21964	 0.23465	 0.02349	 0.38265
	 0.37805	 0.34916	 0.01984	 0.70588
	 0.47818	 0.17906	 0.01124	 0.44262
	 0.13632	 0.36003	 0.01007	 0.38308
	 0.17862	 0.22328	 0.01386	 0.46949
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.46647	 0.27861	 0.01057	 0.42682
	 0.15993	 0.24356	 0.01411	 0.43269
	 0.11786	 0.19145	 0.02372	 0.21112
	 0.41024	 0.49574	 0.00961	 0.39215
	 0.26103	 0.42816	 0.00446	 0.18687
	 0.15517	 0.48398	 0.00502	 0.19978
	 0.42036	 0.38644	 0.00404	 8.89773
	 0.42026	 0.18202	 0.00852	 0.33864
	 0.47818	 0.42670	 0.01124	 0.46132
	 0.30993	 0.14942	 0.01259	 0.47388
	 0.37606	 0.48277	 0.00481	 0.20013
	 0.46647	 0.49192	 0.00513	 5.56544
	 0.13560	 0.26543	 0.01120	 0.40536
	 0.34133	 0.27194	 0.00535	 0.21408
	 0.23038	 0.42835	 0.01218	 0.47987
	 0.23851	 0.22046	 0.00748	 0.29666
	 0.48665	 0.36542	 0.02339	 0.79173
	 0.11488	 0.49294	 0.00579	 0.22786
	 0.21964	 0.23465	 0.02349	 0.38265
	 0.17862	 0.49157	 0.01386	 0.47833
	 0.11488	 0.21972	 0.00579	 0.22575
	 0.10847	 0.14849	 0.01315	 0.32423
	 0.37005	 0.31217	 0.01263	 0.50754
	 0.13998	 0.46949	 0.01373	 0.39601
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.17688	 0.35790	 0.02410	 0.30725
	 0.42026	 0.42968	 0.00852	 0.34674
	 0.30728	 0.41720	 0.02460	 0.50446
	 0.11062	 0.22541	 0.00948	 0.35049
	 0.28870	 0.13737	 0.00580	 0.22838
	 0.11062	 0.22541	 0.00976	 0.35696
	 0.17850	 0.36212	 0.02410	 0.30993
	 0.38166	 0.14435	 0.01386	 0.51809
	 0.33073	 0.23903	 0.01404	 0.54707
	 0.19141	 0.14841	 0.00878	 0.33729
	 0.12052	 0.43549	 0.01687	 0.29335
	 0.38096	 0.49098	 0.00493	 0.20533
	 0.12096	 0.43253	 0.01687	 0.29433
	 0.13588	 0.36003	 0.00946	 0.36413
	 0.21964	 0.23465	 0.02349	 0.38265
	 0.24810	 0.16133	 0.00747	 0.29391
	 0.33963	 0.42816	 0.00365	 8.58829
	 0.25518	 0.42816	 0.00382	 0.15855
	 0.18655	 0.36212	 0.02410	 0.32303
	 0.11488	 0.49294	 0.00214	 7.43183
	 0.29203	 0.22046	 0.00748	 0.29807
	 0.12052	 0.43549	 0.01687	 0.29335
	 0.38696	 0.48348	 0.00362	 10.03600
	 0.17466	 0.49147	 0.00493	 0.19678
	 0.35593	 0.49098	 0.00489	 0.20387
