xs-	ys-	xs+	ys+	theta	
	 0.46278	 -0.68322	 0.90261	 0.79959	 0.00000
	 0.58543	 -0.78029	 0.89039	 0.55185	 -0.15315
	 0.39840	 -0.87611	 0.83025	 0.32851	 0.00000
	 0.63172	 -0.02030	 0.79429	 0.53917	 0.00748
	 0.67855	 -0.75098	 0.87937	 0.71370	 -0.29255
	 0.73948	 -0.07772	 0.87467	 0.52330	 0.00000
	 0.44762	 -0.31972	 0.98597	 0.06523	 0.00000
	 0.73018	 -0.74928	 0.94721	 0.64450	 -0.37094
	 0.42182	 -0.77657	 0.95591	 0.65702	 -0.10659
	 0.54954	 -0.81591	 0.83357	 0.36083	 0.00000
	 0.74106	 -0.60196	 0.79472	 0.31282	 -0.18475
	 0.49770	 -0.09551	 0.97155	 0.85686	 0.00000
	 0.51199	 -0.76200	 0.81971	 0.86995	 0.00000
	 0.49298	 -0.06033	 0.88007	 0.10289	 0.00000
	 0.55183	 -0.85382	 0.95629	 0.59514	 -0.11914
	 0.54915	 -0.64279	 0.91396	 0.03347	 -0.14443
	 0.73847	 -0.72045	 0.83810	 0.58124	 -0.23373
	 0.47483	 -0.27290	 0.96340	 0.71580	 0.00000
	 0.51000	 -0.42897	 0.75943	 0.53530	 0.00779
	 0.58430	 -0.88657	 0.91703	 0.47739	 -0.15581
	 0.55425	 -0.88095	 0.78410	 0.45558	 0.00000
	 0.49718	 -0.51271	 0.86642	 0.08996	 0.00000
	 0.69126	 -0.42253	 0.78511	 0.40285	 0.00000
	 0.39630	 -0.26627	 0.78405	 0.48225	 0.00848
	 0.67124	 -0.15821	 0.83016	 0.26920	 0.00000
	 0.49955	 -0.05657	 0.92183	 0.56061	 0.00000
	 0.66552	 -0.04909	 0.80243	 0.38409	 0.00000
	 0.40860	 -0.31492	 0.84571	 0.17689	 0.00000
	 0.48904	 -0.41778	 0.76054	 0.20539	 0.00000
	 0.72953	 -0.07545	 0.86217	 0.35898	 0.00000
	 0.56816	 -0.60062	 0.98797	 0.32414	 -0.13900
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.40201	 -0.54258	 0.78833	 0.70075	 0.00798
	 0.59120	 -0.10768	 0.78056	 0.74216	 0.00904
	 0.67582	 -0.02664	 0.82871	 0.18190	 0.00000
	 0.56224	 -0.73459	 0.85298	 0.11849	 -0.16030
	 0.59827	 -0.79653	 0.77585	 0.30959	 0.00000
	 0.44524	 -0.50794	 0.76908	 0.07742	 0.00000
	 0.46386	 -0.08822	 0.80246	 0.14269	 0.00000
	 0.41600	 -0.23171	 0.91789	 0.10875	 0.00000
	 0.46386	 -0.08822	 0.80246	 0.14269	 0.00000
	 0.59827	 -0.79653	 0.77585	 0.30959	 0.00000
	 0.42361	 -0.68322	 0.90267	 0.79959	 0.00000
	 0.69428	 -0.75098	 0.87937	 0.71370	 -0.35878
	 0.66552	 -0.01660	 0.80243	 0.45702	 0.00000
	 0.55425	 -0.89294	 0.78410	 0.38265	 0.00000
	 0.72811	 -0.52976	 0.94721	 0.10288	 -0.45452
	 0.49775	 -0.75499	 0.86642	 0.63211	 0.00000
	 0.51175	 -0.06033	 0.88007	 0.10289	 0.00000
	 0.49322	 -0.74703	 0.81971	 0.86995	 0.00000
	 0.53990	 -0.85382	 0.95468	 0.59514	 -0.11785
	 0.49770	 -0.09551	 0.97155	 0.85573	 0.00000
	 0.74283	 -0.74803	 0.93292	 0.19983	 -0.34322
	 0.66805	 -0.15943	 0.83016	 0.72969	 0.00000
	 0.59827	 -0.28111	 0.77585	 0.32330	 0.00000
	 0.45410	 -0.78803	 0.96340	 0.70209	 -0.11748
	 0.44762	 -0.31972	 0.98373	 0.06523	 0.00000
	 0.56528	 -0.78029	 0.89039	 0.55185	 -0.13411
	 0.69126	 -0.35379	 0.78511	 0.40285	 0.00000
	 0.73847	 -0.72045	 0.83810	 0.58123	 -0.23373
	 0.70159	 -0.07545	 0.86217	 0.35898	 0.00000
	 0.49718	 -0.52178	 0.86642	 0.08996	 0.00000
	 0.52716	 -0.63800	 0.91396	 0.03210	 -0.14145
	 0.50002	 -0.76679	 0.81971	 0.86995	 0.00000
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.41600	 -0.23171	 0.91789	 0.10875	 0.00000
	 0.58596	 -0.78421	 0.89039	 0.55185	 -0.15440
	 0.56763	 -0.60062	 0.98797	 0.32414	 -0.13898
	 0.58168	 -0.81873	 0.93313	 0.55834	 -0.15461
	 0.73876	 -0.72045	 0.83790	 0.58216	 -0.23260
	 0.71954	 -0.79601	 0.93307	 0.66437	 -0.33886
	 0.74106	 -0.60196	 0.79472	 0.30247	 -0.18371
	 0.74106	 -0.17489	 0.79472	 0.24007	 0.00000
	 0.73948	 -0.64796	 0.88167	 0.52330	 -0.30877
	 0.39039	 -0.86954	 0.83443	 0.32851	 0.00000
	 0.44524	 -0.45119	 0.76506	 0.07742	 0.00000
	 0.56229	 -0.73406	 0.98656	 0.12546	 -0.11003
	 0.56811	 -0.60114	 0.85327	 0.31717	 0.00000
	 0.58298	 -0.05916	 0.80246	 0.18103	 0.00000
	 0.46517	 -0.88657	 0.91703	 0.35113	 -0.13580
	 0.53990	 -0.85382	 0.95468	 0.59514	 -0.11785
	 0.73018	 -0.74928	 0.94721	 0.64450	 -0.37094
	 0.72811	 -0.51591	 0.94721	 0.10288	 -0.46129
	 0.49775	 -0.76884	 0.85929	 0.63211	 0.00000
	 0.72811	 -0.52976	 0.94721	 0.40260	 -0.45858
	 0.74106	 -0.60196	 0.79472	 0.10414	 -0.16541
	 0.42182	 -0.77657	 0.95591	 0.65702	 -0.10659
	 0.74137	 -0.60196	 0.79472	 0.30247	 -0.18217
	 0.74283	 -0.74803	 0.93292	 0.19983	 -0.34322
	 0.73948	 -0.64796	 0.88167	 0.52330	 -0.30877
	 0.55183	 -0.85382	 0.95629	 0.59514	 -0.11914
	 0.46517	 -0.88657	 0.91703	 0.35113	 -0.13580
	 0.73847	 -0.81787	 0.83810	 0.58123	 -0.21311
	 0.71954	 -0.85075	 0.93307	 0.66437	 -0.27227
	 0.69428	 -0.75098	 0.88685	 0.73059	 -0.36123
	 0.56229	 -0.73406	 0.97864	 0.08825	 -0.10858
	 0.74106	 -0.60231	 0.79472	 0.30014	 -0.18341
	 0.70811	 -0.80181	 0.92720	 0.66670	 -0.28393
	 0.58596	 -0.78421	 0.88982	 0.55185	 -0.15349
	 0.71954	 -0.80981	 0.93307	 0.66437	 -0.32312
	 0.50483	 -0.63800	 0.91396	 0.03210	 -0.12742
	 0.74343	 -0.72045	 0.82341	 0.58216	 0.00000
	 0.45410	 -0.78803	 0.96340	 0.70209	 -0.11748
	 0.67855	 -0.75098	 0.93376	 0.68833	 -0.23974
	 0.58596	 -0.85508	 0.89039	 0.55185	 -0.17178
	 0.56528	 -0.78029	 0.90299	 0.55185	 -0.14119
	 0.57721	 -0.81924	 0.93313	 0.55834	 -0.15429
	 0.71954	 -0.79550	 0.93409	 0.66437	 -0.33601
	 0.66496	 -0.75098	 0.87839	 0.66498	 -0.23715
	 0.71954	 -0.78787	 0.93405	 0.71309	 -0.34882
	 0.53990	 -0.64372	 0.95468	 0.59514	 -0.12076
	 0.57198	 -0.85280	 0.91548	 0.03347	 -0.13890
	 0.56745	 -0.89436	 0.91703	 0.37461	 -0.14612
