xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.50842	 -0.25956	 0.92680	 0.76763	 0.66783	 0.15449	 0.92597	 -0.72769	 390.18601	 0.00000 	 0.00000
	 0.49196	 -0.85942	 0.81544	 0.11025	 0.71452	 0.82963	 0.79758	 -0.51011	 364.29490	 -0.08962 	 12.75077
	 0.49060	 -0.43013	 0.94881	 0.69337	 0.42415	 -0.57315	 0.79825	 -0.29372	 356.97277	 -0.05834 	 15.51531
	 0.56643	 -0.80043	 0.84555	 0.05863	 0.56466	 -0.62573	 0.97963	 -0.72229	 370.35052	 -0.09054 	 12.33149
	 0.57097	 -0.38145	 0.91430	 0.22572	 0.61013	 -0.61003	 0.93986	 -0.59562	 351.03862	 -0.01849 	 10.21997
	 0.69773	 -0.66237	 0.78863	 0.54319	 0.45615	 0.06377	 0.80622	 -0.75360	 336.15032	 0.00000 	 2.00462
	 0.47349	 -0.46406	 0.99222	 0.23407	 0.70637	 0.78909	 0.91976	 -0.12238	 394.30975	 -0.15559 	 18.92977
	 0.72395	 -0.80883	 0.91113	 0.18672	 0.45829	 -0.67943	 0.82703	 -0.36012	 358.75718	 -0.03596 	 6.83493
	 0.73305	 -0.35642	 0.85395	 0.30282	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05182 	 5.03647
	 0.47277	 -0.41967	 0.79130	 0.19187	 0.69915	 -0.69690	 0.92722	 -0.80217	 303.97182	 0.00000 	 0.16113
	 0.58100	 -0.37071	 0.91431	 0.71242	 0.71255	 -0.35339	 0.78399	 -0.56327	 369.72696	 -0.14142 	 14.40169
	 0.40742	 -0.26992	 0.85227	 0.03212	 0.48482	 -0.47985	 0.77276	 -0.57560	 335.97098	 -0.00000 	 8.95984
	 0.41654	 -0.25218	 0.88451	 0.35170	 0.44075	 -0.57278	 0.80591	 -0.81948	 320.76384	 0.00000 	 0.00000
	 0.70271	 -0.68184	 0.81473	 0.76506	 0.44904	 0.80862	 0.79453	 -0.78369	 366.37554	 -0.03978 	 4.83241
	 0.59687	 -0.82568	 0.81694	 0.00161	 0.61449	 -0.45058	 0.81541	 -0.46977	 344.32301	 -0.00387 	 5.66236
	 0.69028	 -0.50589	 0.94659	 0.30343	 0.56381	 -0.17769	 0.77203	 -0.14495	 307.99466	 0.00000 	 0.76411
	 0.69467	 -0.18448	 0.82340	 0.85627	 0.43309	 -0.74912	 0.90596	 -0.42101	 390.67907	 0.00996 	 3.81739
	 0.38796	 -0.30178	 0.89442	 0.58099	 0.73821	 -0.17679	 0.82426	 -0.74656	 390.95217	 0.00966 	 15.00766
	 0.68919	 -0.66773	 0.95978	 0.40385	 0.41471	 0.53241	 0.96357	 -0.67561	 354.53718	 -0.24662 	 9.06635
	 0.52814	 -0.00011	 0.76806	 0.70802	 0.48982	 0.38785	 0.90392	 -0.31862	 382.78190	 0.00956 	 6.92293
	 0.40638	 -0.23658	 0.95813	 0.85875	 0.71291	 0.43700	 0.81979	 -0.60834	 398.89273	 -0.14540 	 18.52010
	 0.74229	 -0.03347	 0.76314	 0.40645	 0.63763	 -0.63380	 0.89364	 -0.45857	 349.93830	 0.00450 	 0.71962
	 0.42893	 -0.30461	 0.98134	 0.37563	 0.56406	 -0.58993	 0.93755	 -0.86925	 341.81551	 -0.00218 	 13.12263
	 0.60968	 -0.66273	 0.78992	 0.20523	 0.55238	 0.62584	 0.82047	 -0.45970	 383.75269	 0.00000 	 0.00000
	 0.63593	 -0.40619	 0.84141	 0.21503	 0.40834	 0.83039	 0.79964	 -0.60980	 314.82256	 -0.00000 	 1.47911
	 0.38365	 -0.14957	 0.92250	 0.57104	 0.37958	 0.21802	 0.82659	 -0.15464	 334.91435	 0.00000 	 0.00000
	 0.56638	 -0.31191	 0.77515	 0.78163	 0.74264	 -0.07053	 0.90006	 -0.61184	 391.65886	 0.00935 	 5.76485
	 0.49448	 -0.13383	 0.85419	 0.70617	 0.41845	 0.32495	 0.90763	 -0.75756	 393.11914	 0.00000 	 0.00000
	 0.56291	 -0.20237	 0.94396	 0.65664	 0.39360	 -0.25200	 0.95442	 -0.21090	 342.44526	 -0.00069 	 9.20387
	 0.43726	 -0.78800	 0.94109	 0.48805	 0.60373	 0.06997	 0.90656	 -0.38423	 394.58914	 0.00000 	 0.00000
	 0.51461	 -0.83391	 0.92386	 0.35012	 0.60509	 0.16994	 0.92736	 -0.39962	 404.92649	 0.00950 	 10.65483
	 0.67470	 -0.57406	 0.89690	 0.37229	 0.62623	 -0.14284	 0.82270	 -0.09263	 403.07189	 -0.20557 	 15.64986
	 0.49840	 -0.49335	 0.76459	 0.12468	 0.57046	 0.49714	 0.94006	 -0.49930	 380.06089	 0.01000 	 8.77958
	 0.45254	 -0.16936	 0.87641	 0.87894	 0.68330	 0.43350	 0.91012	 -0.27782	 339.72837	 0.00051 	 9.52729
	 0.58431	 -0.73818	 0.85033	 0.09692	 0.42758	 -0.77556	 0.95886	 -0.20668	 411.88157	 -0.10556 	 12.67193
	 0.59458	 -0.52706	 0.91152	 0.01470	 0.54679	 -0.55961	 0.85315	 -0.11516	 396.24147	 -0.24365 	 18.63868
	 0.68388	 -0.05957	 0.91189	 0.83014	 0.55745	 0.06726	 0.97043	 -0.63102	 378.33586	 0.00000 	 0.00000
	 0.54468	 -0.31854	 0.84242	 0.69579	 0.44277	 0.12341	 0.76532	 -0.76069	 331.73050	 0.00000 	 5.24623
	 0.50336	 -0.27862	 0.82477	 0.60594	 0.63794	 -0.09655	 0.93044	 -0.28562	 312.46318	 0.00000 	 1.84292
	 0.44096	 -0.46604	 0.82693	 0.02366	 0.41491	 0.34631	 0.95510	 -0.72155	 314.75865	 0.00000 	 2.75413
	 0.49060	 -0.43013	 0.82569	 0.69337	 0.42415	 -0.60991	 0.80694	 -0.29372	 356.97277	 0.00966 	 8.99431
	 0.44096	 -0.46604	 0.95005	 0.02366	 0.41491	 0.38307	 0.95510	 -0.72155	 314.75865	 0.00000 	 3.62884
	 0.69979	 -0.64315	 0.91399	 0.54319	 0.71710	 0.06377	 0.80622	 -0.75155	 335.53859	 0.00000 	 4.29741
	 0.57893	 -0.37293	 0.78895	 0.71242	 0.45151	 -0.35339	 0.78399	 -0.56531	 370.33869	 0.00942 	 5.77949
	 0.74229	 -0.18763	 0.75786	 0.86132	 0.65562	 -0.63380	 0.89311	 -0.45857	 349.93830	 0.00577 	 1.05043
	 0.69467	 -0.03032	 0.82835	 0.39988	 0.43309	 -0.74912	 0.90649	 -0.42101	 390.67907	 0.00950 	 4.07634
	 0.69005	 -0.69301	 0.95978	 0.39439	 0.67386	 0.53241	 0.96357	 -0.67622	 390.56537	 -0.22931 	 13.52489
