l_s	l_l	R	T_f	theta	power	
	 0.40275	 0.34056	 0.02320	 346.46667	 -0.00971 	 10.80223
	 0.57325	 0.35872	 0.01495	 322.07592	 0.00000 	 6.65308
	 0.10809	 0.37432	 0.00257	 305.91244	 0.00000 	 0.18309
	 0.14156	 0.51581	 0.00649	 369.95024	 -0.04638 	 6.02611
	 0.32510	 0.10704	 0.01627	 350.86098	 -0.02101 	 9.68798
	 0.10728	 0.34330	 0.00774	 405.30595	 -0.09089 	 5.90065
	 0.27517	 0.50170	 0.02994	 374.60850	 -0.15863 	 14.19389
	 0.42344	 0.26270	 0.00549	 306.99098	 0.00000 	 0.99729
	 0.16073	 0.19732	 0.00898	 313.78669	 0.00000 	 1.04837
	 0.55582	 0.46104	 0.02546	 337.23096	 -0.00001 	 11.61706
	 0.47017	 0.41675	 0.01428	 396.48802	 -0.23195 	 29.18846
	 0.13487	 0.57668	 0.02682	 342.25693	 -0.00068 	 3.24190
	 0.30494	 0.19018	 0.00433	 361.25445	 -0.02239 	 11.05959
	 0.52085	 0.58287	 0.02897	 372.75730	 -0.18393 	 24.76694
	 0.23439	 0.36887	 0.01704	 327.24124	 0.00000 	 3.46286
	 0.16926	 0.24893	 0.02930	 304.59568	 0.00000 	 0.15004
	 0.13414	 0.46674	 0.00396	 374.12833	 -0.03628 	 6.02380
	 0.17760	 0.35896	 0.02044	 400.79970	 -0.25605 	 13.19211
	 0.49424	 0.23482	 0.02913	 310.36372	 0.00000 	 2.18622
	 0.48769	 0.46949	 0.01946	 387.40743	 -0.23653 	 27.78391
	 0.33644	 0.32083	 0.01907	 372.29358	 -0.12480 	 15.47744
	 0.10577	 0.53505	 0.01715	 306.20059	 0.00000 	 0.19785
	 0.50491	 0.26725	 0.00901	 379.51836	 -0.09843 	 24.58599
	 0.11463	 0.28926	 0.02426	 366.79138	 -0.06488 	 5.15768
	 0.20890	 0.37445	 0.02017	 411.95812	 -0.28951 	 15.81025
	 0.31986	 0.14085	 0.00349	 390.76350	 -0.04300 	 15.91995
	 0.21052	 0.37492	 0.00797	 360.63515	 -0.03443 	 7.62260
	 0.41082	 0.45343	 0.00845	 388.19771	 -0.11784 	 22.46126
	 0.11573	 0.20581	 0.01502	 316.11315	 0.00000 	 0.91994
	 0.20622	 0.36423	 0.02321	 383.84232	 -0.18476 	 12.20738
	 0.48248	 0.50827	 0.02381	 338.28799	 -0.00006 	 10.39742
	 0.29963	 0.12260	 0.01640	 403.12962	 -0.25152 	 19.75936
	 0.59797	 0.33315	 0.02377	 402.21184	 -0.38955 	 39.91234
	 0.34065	 0.30599	 0.02533	 400.18795	 -0.35801 	 24.76839
	 0.55261	 0.21631	 0.00320	 322.38051	 0.00000 	 6.51682
	 0.41358	 0.38290	 0.02476	 315.12932	 0.00000 	 3.03807
	 0.20863	 0.10960	 0.02410	 313.20007	 0.00000 	 1.28577
	 0.32649	 0.59485	 0.02540	 327.39035	 0.00000 	 4.85340
	 0.42947	 0.43726	 0.01327	 322.54316	 0.00000 	 5.10750
	 0.39060	 0.50550	 0.01010	 392.38915	 -0.15289 	 22.68205
	 0.33224	 0.59125	 0.02936	 327.39035	 0.00000 	 4.93879
	 0.19676	 0.20305	 0.02534	 304.59568	 0.00000 	 0.17442
	 0.41529	 0.45366	 0.02994	 374.60850	 -0.18802 	 20.80565
	 0.27070	 0.50147	 0.00845	 388.19771	 -0.11409 	 14.92286
	 0.10442	 0.37378	 0.01864	 305.91244	 0.00000 	 0.17688
	 0.18145	 0.35590	 0.00278	 400.79970	 -0.02759 	 8.22442
	 0.11573	 0.20581	 0.00988	 316.11315	 0.00000 	 0.91994
	 0.39060	 0.50550	 0.01524	 392.38915	 -0.21546 	 23.39163
	 0.56068	 0.23482	 0.02913	 310.36372	 0.00000 	 2.48012
	 0.23439	 0.36887	 0.01704	 327.24124	 0.00000 	 3.46286
	 0.29727	 0.11459	 0.01495	 323.40587	 0.00000 	 3.69251
	 0.57547	 0.36730	 0.01639	 405.26941	 -0.27117 	 35.88868
	 0.29783	 0.21688	 0.01621	 403.12962	 -0.24899 	 19.61434
	 0.55332	 0.12204	 0.00339	 322.77560	 0.00000 	 6.65929
	 0.17057	 0.24893	 0.02529	 305.28043	 0.00000 	 0.22282
	 0.33934	 0.30599	 0.02936	 400.19919	 -0.37120 	 25.41586
	 0.59412	 0.19704	 0.00382	 402.10885	 -0.05121 	 30.59040
	 0.32072	 0.33232	 0.02344	 390.86649	 -0.26919 	 20.36011
	 0.16073	 0.19732	 0.01933	 389.66157	 -0.18719 	 10.26005
	 0.48769	 0.46949	 0.01102	 311.55915	 0.00000 	 2.51478
