l_s	l_l	R	theta	
	 0.19489	 0.19635	 0.01576	 -0.21795
	 0.45538	 0.32750	 0.00419	 -0.05560
	 0.32565	 0.34526	 0.00252	 -0.02518
	 0.11062	 0.22541	 0.00976	 -0.11584
	 0.37754	 0.49098	 0.00493	 -0.06749
	 0.33963	 0.42816	 0.00497	 -0.06786
	 0.30728	 0.41720	 0.02464	 -0.36793
	 0.46546	 0.29945	 0.01495	 -0.24376
	 0.17850	 0.35790	 0.02410	 -0.32648
	 0.12899	 0.48398	 0.00502	 -0.05674
	 0.42036	 0.38644	 0.00404	 -0.05352
	 0.15486	 0.43485	 0.01852	 -0.24469
	 0.28870	 0.13737	 0.00886	 -0.12753
	 0.26037	 0.49574	 0.00895	 -0.12740
	 0.16620	 0.23903	 0.00896	 -0.11630
	 0.45755	 0.46092	 0.02385	 -0.36947
	 0.24810	 0.16133	 0.00747	 -0.10464
	 0.48665	 0.22755	 0.02339	 -0.36923
	 0.30845	 0.14573	 0.01247	 -0.19150
	 0.12052	 0.43549	 0.01687	 -0.20777
	 0.28827	 0.21431	 0.01690	 -0.25941
	 0.11488	 0.49294	 0.00579	 -0.06630
	 0.23851	 0.35833	 0.00748	 -0.10437
	 0.37871	 0.44733	 0.02009	 -0.31162
	 0.24595	 0.30935	 0.00144	 -0.00702
	 0.33791	 0.32626	 0.00136	 -0.00598
	 0.37005	 0.31217	 0.01263	 -0.19773
	 0.10847	 0.14849	 0.01315	 -0.15729
	 0.23208	 0.27213	 0.01214	 -0.17366
	 0.13998	 0.44191	 0.01373	 -0.17876
	 0.15019	 0.27905	 0.00238	 -0.01972
	 0.38166	 0.14841	 0.01386	 -0.21422
	 0.42026	 0.42968	 0.00852	 -0.13170
	 0.21964	 0.23465	 0.02349	 -0.33479
	 0.37805	 0.34916	 0.01984	 -0.30866
	 0.47818	 0.17906	 0.01124	 -0.17724
	 0.13632	 0.36003	 0.01007	 -0.12821
	 0.17862	 0.22328	 0.01386	 -0.18929
	 0.10923	 0.19129	 0.02400	 -0.28123
	 0.46647	 0.27861	 0.01057	 -0.16752
	 0.15993	 0.24356	 0.01411	 -0.18710
	 0.11786	 0.19145	 0.02372	 -0.28200
	 0.49740	 0.46092	 0.02440	 -0.38347
	 0.34062	 0.42816	 0.00402	 -0.05072
	 0.33346	 0.41720	 0.02464	 -0.37692
	 0.42036	 0.38644	 0.00404	 -0.05352
	 0.30845	 0.14819	 0.01247	 -0.19150
	 0.37805	 0.34677	 0.01984	 -0.30866
	 0.24149	 0.34924	 0.02004	 -0.29118
	 0.37506	 0.35824	 0.00728	 -0.10923
	 0.46647	 0.28116	 0.00899	 -0.13918
	 0.17282	 0.23649	 0.01128	 -0.15061
	 0.46066	 0.16113	 0.00833	 -0.12976
	 0.24478	 0.46074	 0.02325	 -0.33183
	 0.23851	 0.22046	 0.00748	 -0.10437
	 0.48665	 0.36542	 0.02339	 -0.36923
	 0.26037	 0.49574	 0.00895	 -0.12740
	 0.21964	 0.23465	 0.02349	 -0.33479
	 0.28827	 0.30058	 0.01690	 -0.25941
	 0.46546	 0.21319	 0.01495	 -0.24376
	 0.10847	 0.14849	 0.01495	 -0.18285
	 0.46546	 0.29945	 0.01315	 -0.20980
	 0.37871	 0.47401	 0.02009	 -0.31162
	 0.10923	 0.19129	 0.02400	 -0.28123
	 0.17688	 0.35790	 0.02410	 -0.32533
	 0.37871	 0.44733	 0.02009	 -0.31162
	 0.30728	 0.41720	 0.02463	 -0.36779
	 0.23208	 0.27213	 0.01191	 -0.17109
	 0.48665	 0.22755	 0.02033	 -0.33058
	 0.46647	 0.27861	 0.01057	 -0.16752
	 0.17850	 0.36212	 0.02410	 -0.32648
	 0.38166	 0.14435	 0.01386	 -0.21422
	 0.32766	 0.44191	 0.01387	 -0.20985
	 0.16842	 0.14841	 0.01373	 -0.18593
	 0.12052	 0.43549	 0.01687	 -0.20777
	 0.15828	 0.43485	 0.01852	 -0.24639
	 0.16415	 0.43189	 0.01852	 -0.24920
	 0.46733	 0.17906	 0.01064	 -0.16843
	 0.21964	 0.23465	 0.02349	 -0.33479
	 0.10847	 0.14849	 0.01315	 -0.15729
	 0.21964	 0.23934	 0.02349	 -0.33479
	 0.48326	 0.45019	 0.02440	 -0.38087
	 0.26802	 0.22236	 0.01690	 -0.25543
	 0.17850	 0.35790	 0.02410	 -0.32648
	 0.17522	 0.40275	 0.02004	 -0.27645
	 0.37871	 0.47401	 0.02009	 -0.31162
	 0.46139	 0.25592	 0.02349	 -0.36593
	 0.21860	 0.23516	 0.02339	 -0.33353
	 0.31232	 0.38898	 0.02312	 -0.34141
	 0.23974	 0.46074	 0.02476	 -0.35431
	 0.17664	 0.31374	 0.02411	 -0.32521
	 0.21988	 0.23465	 0.02348	 -0.33485
	 0.17497	 0.35790	 0.02489	 -0.32795
	 0.19489	 0.19635	 0.01576	 -0.21795
	 0.21753	 0.23465	 0.02349	 -0.33371
	 0.30428	 0.41720	 0.02475	 -0.36782
	 0.30728	 0.41720	 0.02464	 -0.36793
	 0.48985	 0.36542	 0.02339	 -0.36978
	 0.16327	 0.36071	 0.01863	 -0.24965
	 0.24058	 0.42338	 0.01993	 -0.28989
	 0.33346	 0.41720	 0.02464	 -0.37692
	 0.17688	 0.35790	 0.02410	 -0.32533
	 0.10923	 0.19129	 0.02399	 -0.28123
	 0.45755	 0.46001	 0.02385	 -0.36952
	 0.36126	 0.46092	 0.02385	 -0.36240
	 0.37871	 0.44733	 0.02009	 -0.31162
	 0.49740	 0.45606	 0.02440	 -0.38347
	 0.10923	 0.23343	 0.02405	 -0.28130
	 0.37249	 0.43485	 0.01877	 -0.29522
	 0.16048	 0.35886	 0.01852	 -0.24745
	 0.24478	 0.46074	 0.02392	 -0.35025
	 0.48665	 0.36542	 0.02278	 -0.36166
	 0.18139	 0.43189	 0.01852	 -0.25678
	 0.28827	 0.30058	 0.01690	 -0.25941
	 0.19231	 0.36091	 0.02408	 -0.33564
	 0.31966	 0.46455	 0.02466	 -0.37249
	 0.10923	 0.19129	 0.02400	 -0.28123
	 0.21964	 0.23465	 0.02349	 -0.33479
	 0.37871	 0.44733	 0.02009	 -0.31162
	 0.29019	 0.41720	 0.02463	 -0.36148
	 0.48665	 0.36542	 0.02344	 -0.36981
	 0.48326	 0.45019	 0.02435	 -0.38031
	 0.15451	 0.45019	 0.02045	 -0.26808
	 0.49383	 0.35790	 0.02409	 -0.37906
	 0.20823	 0.41720	 0.02484	 -0.35048
	 0.31358	 0.23465	 0.02339	 -0.34441
	 0.47915	 0.36542	 0.02272	 -0.35971
	 0.29950	 0.41720	 0.02406	 -0.35976
	 0.49061	 0.35111	 0.02408	 -0.37836
	 0.19333	 0.45606	 0.02434	 -0.33791
	 0.36126	 0.46092	 0.02339	 -0.35762
	 0.48985	 0.36542	 0.02385	 -0.37546
	 0.30728	 0.45987	 0.02384	 -0.36037
	 0.45755	 0.41734	 0.02321	 -0.36190
	 0.48665	 0.22755	 0.02033	 -0.33058
	 0.21964	 0.23465	 0.02349	 -0.33479
	 0.48665	 0.45549	 0.02210	 -0.35327
	 0.48665	 0.19060	 0.02339	 -0.36923
	 0.45755	 0.46001	 0.02385	 -0.36952
	 0.26579	 0.46074	 0.02363	 -0.34352
	 0.33346	 0.41720	 0.02464	 -0.37692
	 0.48665	 0.22755	 0.02043	 -0.33189
	 0.19231	 0.32921	 0.02408	 -0.33564
	 0.33346	 0.41720	 0.02464	 -0.37692
	 0.23150	 0.46471	 0.02476	 -0.35010
	 0.31914	 0.41323	 0.02464	 -0.37212
