l_s	l_l	R	theta	
	 0.21862	 0.22043	 0.01884	 -0.27442
	 0.54422	 0.38437	 0.00486	 -0.07015
	 0.38206	 0.40658	 0.00283	 -0.03208
	 0.11327	 0.25676	 0.01159	 -0.14235
	 0.44692	 0.58872	 0.00575	 -0.08433
	 0.39954	 0.51020	 0.00580	 -0.08476
	 0.35910	 0.49650	 0.02957	 -0.42376
	 0.55682	 0.34932	 0.01786	 -0.29445
	 0.19813	 0.42238	 0.02891	 -0.25472
	 0.13624	 0.57998	 0.00586	 -0.07001
	 0.50045	 0.45805	 0.00467	 -0.06645
	 0.16857	 0.51856	 0.02217	 -0.26812
	 0.33587	 0.14672	 0.01049	 -0.16141
	 0.30046	 0.59468	 0.01060	 -0.16093
	 0.18275	 0.27379	 0.01062	 -0.14678
	 0.54694	 0.55115	 0.02861	 -0.45475
	 0.28512	 0.17667	 0.00882	 -0.13142
	 0.58331	 0.25944	 0.02806	 -0.44681
	 0.36057	 0.15716	 0.01486	 -0.23451
	 0.12566	 0.51936	 0.02018	 -0.22191
	 0.33534	 0.24289	 0.02021	 -0.31189
	 0.11859	 0.59118	 0.00679	 -0.08026
	 0.27313	 0.42291	 0.00882	 -0.12920
	 0.44839	 0.53417	 0.02406	 -0.37955
	 0.28243	 0.36168	 0.00154	 -0.00906
	 0.39739	 0.38283	 0.00143	 -0.00746
	 0.43756	 0.36522	 0.01505	 -0.24434
	 0.11058	 0.16062	 0.01568	 -0.19241
	 0.26511	 0.31516	 0.01446	 -0.21810
	 0.14998	 0.52738	 0.01639	 -0.22072
	 0.16274	 0.32381	 0.00267	 -0.02519
	 0.45207	 0.16051	 0.01654	 -0.26725
	 0.50032	 0.51210	 0.01008	 -0.16125
	 0.24955	 0.26832	 0.02818	 -0.31918
	 0.44756	 0.41145	 0.02377	 -0.37616
	 0.57273	 0.19882	 0.01338	 -0.22131
	 0.14540	 0.42504	 0.01196	 -0.15772
	 0.19827	 0.25410	 0.01654	 -0.23541
	 0.11153	 0.21411	 0.02879	 -0.15034
	 0.55808	 0.32327	 0.01257	 -0.20584
	 0.30515	 0.27960	 0.01663	 -0.25601
	 0.21514	 0.24295	 0.02012	 -0.28977
	 0.59675	 0.55115	 0.02927	 -0.46410
	 0.40077	 0.51020	 0.00465	 -0.06387
	 0.39183	 0.49650	 0.02957	 -0.45212
	 0.50045	 0.45805	 0.00467	 -0.06645
	 0.36057	 0.16024	 0.01486	 -0.23451
	 0.44756	 0.40847	 0.02377	 -0.37616
	 0.27686	 0.41155	 0.02401	 -0.35815
	 0.44383	 0.42281	 0.00858	 -0.13439
	 0.55808	 0.32644	 0.01066	 -0.17329
	 0.19102	 0.27061	 0.01342	 -0.18961
	 0.55083	 0.17641	 0.00985	 -0.15895
	 0.28097	 0.55092	 0.02789	 -0.35648
	 0.27313	 0.25057	 0.00882	 -0.12920
	 0.58331	 0.43177	 0.02806	 -0.44681
	 0.30046	 0.59468	 0.01060	 -0.16093
	 0.24955	 0.26832	 0.02818	 -0.31918
	 0.33534	 0.35073	 0.02021	 -0.31189
	 0.55682	 0.24148	 0.01786	 -0.29445
	 0.11058	 0.16062	 0.01786	 -0.21612
	 0.55682	 0.34932	 0.01568	 -0.25914
	 0.44839	 0.56751	 0.02406	 -0.37955
	 0.14540	 0.42504	 0.01196	 -0.15772
	 0.19610	 0.42238	 0.02891	 -0.25233
	 0.44839	 0.53417	 0.02406	 -0.37955
	 0.35910	 0.49650	 0.02955	 -0.42392
	 0.26511	 0.31516	 0.01418	 -0.21488
	 0.58331	 0.25944	 0.02436	 -0.39496
	 0.55808	 0.32327	 0.01257	 -0.20584
	 0.19813	 0.42765	 0.02891	 -0.25472
	 0.45207	 0.15544	 0.01654	 -0.26725
	 0.38457	 0.52738	 0.01655	 -0.26354
	 0.18553	 0.16051	 0.01638	 -0.22992
