xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.41122	 -0.22849	 0.82669	 0.68298	 402.17996	 0.00980 	 11.04832
	 0.56655	 -0.27651	 0.90107	 0.22987	 362.09319	 -0.02373 	 12.33225
	 0.67289	 -0.71650	 0.94216	 0.84410	 347.00878	 -0.00879 	 7.37942
	 0.49114	 -0.04608	 0.94223	 0.85925	 390.90657	 0.00926 	 11.56456
	 0.40854	 -0.65840	 0.93377	 0.72350	 324.86024	 0.00000 	 7.01869
	 0.40751	 -0.58063	 0.87300	 0.04970	 388.06118	 -0.26038 	 26.65388
	 0.59165	 -0.77233	 0.83162	 0.80252	 364.01163	 0.00000 	 0.00000
	 0.61183	 -0.59004	 0.76242	 0.49795	 325.78556	 -0.00000 	 2.16801
	 0.61720	 -0.60785	 0.85881	 0.78277	 398.56668	 -0.17214 	 15.42891
	 0.71351	 -0.15384	 0.81757	 0.03956	 385.71561	 -0.04941 	 5.49757
	 0.74209	 -0.38051	 0.89736	 0.19507	 379.83048	 -0.10457 	 7.97395
	 0.65757	 -0.05129	 0.89263	 0.10359	 344.99581	 0.00000 	 0.00000
	 0.59333	 -0.26010	 0.85016	 0.64234	 382.22585	 0.00993 	 7.25380
	 0.70459	 -0.03731	 0.85305	 0.41347	 320.12160	 -0.00000 	 1.54832
	 0.47112	 -0.40791	 0.93099	 0.65052	 320.10631	 -0.00000 	 4.79134
	 0.58346	 -0.23683	 0.77504	 0.35926	 335.59907	 0.00000 	 3.83652
	 0.46411	 -0.78416	 0.79282	 0.34348	 315.20528	 0.00000 	 2.46071
	 0.68444	 -0.38864	 0.77489	 0.50372	 396.13100	 0.00987 	 2.77381
	 0.72540	 -0.31392	 0.94489	 0.66700	 305.39586	 0.00000 	 0.30312
	 0.43693	 -0.66918	 0.85803	 0.72158	 346.96864	 0.00000 	 0.00000
	 0.73524	 -0.57102	 0.76473	 0.89583	 399.02307	 0.00995 	 1.82396
	 0.43202	 -0.81961	 0.84633	 0.08902	 384.41300	 -0.20906 	 22.65218
	 0.65083	 -0.62211	 0.82143	 0.23847	 373.92796	 -0.07269 	 7.92127
	 0.45338	 -0.41386	 0.78041	 0.78979	 303.33517	 -0.00000 	 0.03749
	 0.40391	 -0.62562	 0.90485	 0.13954	 363.56763	 -0.06815 	 19.21798
	 0.38832	 -0.24744	 0.96408	 0.64928	 403.07408	 -0.20955 	 33.66834
	 0.46425	 -0.79482	 0.93396	 0.17063	 352.52608	 -0.02860 	 14.56268
	 0.54749	 -0.41775	 0.86859	 0.47155	 305.86650	 0.00000 	 0.53710
	 0.60195	 -0.50241	 0.82788	 0.61876	 318.74959	 0.00000 	 2.19029
	 0.71416	 -0.39926	 0.92501	 0.71194	 355.08497	 -0.02525 	 6.90645
	 0.38298	 -0.55179	 0.92726	 0.56833	 366.56595	 -0.06269 	 21.81213
	 0.52538	 -0.33574	 0.76143	 0.14663	 326.42493	 0.00000 	 3.38336
	 0.46035	 -0.45833	 0.78423	 0.67469	 412.06450	 0.00882 	 8.65889
	 0.41658	 -0.49708	 0.99021	 0.03900	 332.24290	 0.00000 	 10.24701
	 0.67243	 -0.81130	 0.84498	 0.31180	 363.07594	 -0.05445 	 6.88594
	 0.67751	 -0.56762	 0.97817	 0.03993	 380.62859	 -0.18111 	 16.11700
	 0.52842	 -0.07435	 0.82358	 0.16562	 338.66799	 0.00010 	 6.43181
	 0.64109	 -0.57899	 0.77952	 0.02807	 336.61583	 -0.00000 	 2.88764
	 0.70449	 -0.15877	 0.78670	 0.61376	 307.80543	 -0.00000 	 0.24350
	 0.53050	 -0.86410	 0.78809	 0.05873	 311.83419	 0.00000 	 1.39303
	 0.40887	 -0.65950	 0.93361	 0.73214	 324.86024	 0.00000 	 7.01246
	 0.38266	 -0.59177	 0.92742	 0.55969	 366.56595	 -0.07108 	 21.89757
	 0.65757	 -0.05129	 0.91614	 0.10359	 344.99581	 0.00000 	 0.00000
	 0.74209	 -0.38051	 0.89266	 0.19507	 379.83048	 -0.10375 	 7.74435
	 0.40391	 -0.62562	 0.99170	 0.13954	 363.56763	 -0.09311 	 22.83721
	 0.41658	 -0.49708	 0.90295	 0.05475	 332.24290	 0.00000 	 8.69321
	 0.71107	 -0.38801	 0.94301	 0.66700	 305.39586	 0.00000 	 0.32055
	 0.68444	 -0.31455	 0.77679	 0.50372	 396.13100	 0.00940 	 2.77291
