xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.45231	 -0.64936	 0.77253	 0.63522	 319.53770	 -0.00000 	 3.26464
	 0.56821	 -0.40312	 0.88198	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.44875	 -0.13931	 0.78541	 0.40008	 337.90685	 0.00003 	 7.18735
	 0.53662	 -0.81547	 0.79215	 0.65598	 354.12778	 0.00966 	 7.21800
	 0.40704	 -0.32788	 0.82789	 0.50642	 342.40524	 0.00230 	 10.17484
	 0.50583	 -0.83430	 0.78743	 0.61838	 319.68722	 -0.00000 	 2.92178
	 0.71452	 -0.56979	 0.76298	 0.58586	 317.72285	 -0.00000 	 0.54917
	 0.43501	 -0.08962	 0.95752	 0.40379	 354.49299	 0.00000 	 0.00000
	 0.71188	 -0.42735	 0.90275	 0.37387	 308.39258	 -0.00000 	 0.61710
	 0.58428	 -0.87973	 0.83780	 0.28422	 332.49987	 0.00000 	 4.64239
	 0.42531	 -0.33307	 0.88158	 0.04825	 398.32842	 -0.28096 	 28.00708
	 0.63612	 -0.11005	 0.99103	 0.04412	 313.14978	 0.00000 	 2.17648
	 0.50580	 -0.49074	 0.79269	 0.72458	 351.53323	 0.00950 	 7.85564
	 0.49353	 -0.84925	 0.93570	 0.73798	 332.24488	 -0.00000 	 7.94516
	 0.63139	 -0.53793	 0.95870	 0.21835	 331.62882	 0.00000 	 5.73248
	 0.69418	 -0.13596	 0.92826	 0.79811	 316.25864	 0.00000 	 1.88488
	 0.60180	 -0.82049	 0.95440	 0.61735	 411.75612	 -0.13783 	 16.48002
	 0.60155	 -0.80089	 0.89113	 0.37562	 360.64612	 -0.05487 	 10.76884
	 0.64975	 -0.05336	 0.91815	 0.32748	 324.99429	 0.00000 	 0.00000
	 0.52930	 -0.70816	 0.80294	 0.44187	 402.33065	 0.00984 	 8.16823
	 0.38774	 -0.50641	 0.97583	 0.53845	 404.80728	 -0.15380 	 26.65106
	 0.39780	 -0.54393	 0.94970	 0.08589	 409.81686	 -0.16129 	 25.44318
	 0.72277	 -0.17298	 0.76321	 0.42007	 352.73244	 0.00995 	 1.37691
	 0.72867	 -0.46453	 0.82610	 0.79074	 400.77088	 -0.15541 	 6.94879
	 0.49695	 -0.87745	 0.97640	 0.61336	 394.54383	 -0.09159 	 18.81569
	 0.50456	 -0.34125	 0.79376	 0.11237	 385.18968	 0.00000 	 0.00000
	 0.41450	 -0.24065	 0.91919	 0.01239	 379.79836	 -0.12559 	 24.84655
	 0.50459	 -0.10705	 0.95037	 0.20735	 366.81655	 -0.00733 	 17.73240
	 0.73525	 -0.06082	 0.98321	 0.62607	 356.81192	 -0.00634 	 8.26115
	 0.70610	 -0.51611	 0.93078	 0.15222	 404.75621	 -0.31637 	 17.00299
	 0.53872	 -0.66781	 0.92120	 0.87236	 308.53917	 -0.00000 	 1.27224
	 0.42512	 -0.26031	 0.95363	 0.75070	 394.30113	 -0.15169 	 31.19024
	 0.46780	 -0.49150	 0.92884	 0.60977	 310.19927	 0.00000 	 1.99816
	 0.61294	 -0.01399	 0.93430	 0.03084	 354.11414	 0.00000 	 0.00000
	 0.60507	 -0.57842	 0.80878	 0.44513	 387.46006	 0.00000 	 0.00000
	 0.63893	 -0.65426	 0.85236	 0.52923	 323.68125	 -0.00000 	 2.73033
	 0.56359	 -0.45406	 0.98558	 0.76057	 356.54977	 -0.03724 	 14.15447
	 0.43079	 -0.66283	 0.81245	 0.42958	 343.60268	 0.00254 	 9.56563
	 0.44873	 -0.62190	 0.85323	 0.02099	 344.50209	 -0.00425 	 10.33233
	 0.59102	 -0.70588	 0.92725	 0.46784	 370.29198	 -0.11484 	 14.99943
	 0.38774	 -0.13369	 0.97583	 0.40018	 404.80728	 -0.21230 	 38.19940
	 0.44875	 -0.51203	 0.78541	 0.53834	 337.90685	 0.00003 	 7.23594
	 0.72277	 -0.17264	 0.76368	 0.42007	 352.73244	 0.00994 	 1.38901
	 0.44875	 -0.13965	 0.78494	 0.40008	 337.90685	 0.00003 	 7.17747
	 0.42531	 -0.33307	 0.88158	 0.04825	 398.77201	 -0.28669 	 28.20380
	 0.58751	 -0.87973	 0.83780	 0.28422	 332.05574	 0.00000 	 4.51520
	 0.60120	 -0.65426	 0.85261	 0.52763	 325.06525	 -0.00000 	 3.42223
	 0.63928	 -0.80089	 0.89089	 0.37722	 359.26212	 -0.04777 	 9.16188
	 0.53957	 -0.66781	 0.92054	 0.73760	 332.13067	 0.00000 	 6.81239
	 0.49268	 -0.84925	 0.93636	 0.87273	 308.33309	 -0.00000 	 1.42052
	 0.49448	 -0.10705	 0.92114	 0.20735	 368.84608	 0.00000 	 0.00000
	 0.53872	 -0.66781	 0.95043	 0.87236	 306.65392	 0.00000 	 0.88887
