Test : Start of hold value,"100.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"0.00000","1.20676","0.46379","29.11588","0.00000","4.06799"
"0.10000","1.20670","0.46804","29.11588","0.00000","4.10529"
"0.20000","1.20674","0.48410","29.11588","0.00000","4.24617"
"0.30000","1.20686","0.46470","29.11588","0.00000","4.07596"
"0.40000","1.20711","0.43418","29.16313","0.00000","3.80830"
"0.50000","1.20828","0.42573","29.16313","0.00001","3.73416"
"0.60000","1.21083","0.43344","29.16313","0.00004","3.80184"
"0.70000","1.21145","0.43124","29.16313","0.00005","3.78252"
"0.80000","1.21218","0.41315","29.16313","0.00005","3.62383"
"0.90000","1.21322","0.39725","29.22532","0.00006","3.48438"
"1.00000","1.21417","0.37933","29.22532","0.00007","3.32722"
"1.10000","1.21496","0.36317","29.22532","0.00008","3.18544"
"1.20000","1.21573","0.34303","29.22532","0.00009","3.00880"
"1.30000","1.21653","0.32741","29.22532","0.00010","2.87175"
"1.40000","1.21733","0.31517","29.22532","0.00010","2.76439"
"1.50000","1.21813","0.31152","29.27136","0.00011","2.73244"
"1.60000","1.21895","0.30486","29.27136","0.00012","2.67396"
"1.70000","1.21978","0.31426","29.27136","0.00013","2.75648"
"1.80000","1.22065","0.32336","29.27136","0.00014","2.83625"
"1.90000","1.22158","0.32155","29.27136","0.00015","2.82037"
"2.00000","1.22248","0.31828","29.27136","0.00016","2.79173"
"2.10000","1.22330","0.30411","29.27497","0.00016","2.66737"
"2.20000","1.22406","0.29713","29.27497","0.00017","2.60615"
"2.30000","1.22485","0.30039","29.27497","0.00018","2.63476"
"2.40000","1.22564","0.30639","29.27497","0.00019","2.68742"
"2.50000","1.22647","0.30685","29.27497","0.00019","2.69142"
"2.60000","1.22732","0.31585","29.27497","0.00020","2.77038"
"2.70000","1.22815","0.33150","29.23319","0.00021","2.90769"
"2.80000","1.22902","0.34733","29.23319","0.00022","3.04654"
"2.90000","1.22998","0.37903","29.23319","0.00023","3.32459"
"3.00000","1.23087","0.40496","29.23319","0.00024","3.55199"
"3.10000","1.23163","0.42822","29.23319","0.00025","3.75604"
"3.20000","1.23240","0.45701","29.18133","0.00025","4.00857"
"3.30000","1.23321","0.48354","29.18133","0.00026","4.24121"
