Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				0.1
Reflected temperature				20
Location X				54
Location Y				98
Size X				179
Size Y				48
Surface (pixels)				8592

Date	Time	Milliseconds	Relative time	Bx1.Max.
12/07/2016	18:48:35	240	0	25,6465904654603
12/07/2016	18:48:37	564	2,324	25,5940113510016
12/07/2016	18:48:37	857	2,617	25,5764792556698
12/07/2016	18:48:38	024	2,784	25,5414064710326
12/07/2016	18:48:38	388	3,148	25,5589442961364
12/07/2016	18:48:38	590	3,35	25,5589442961364
12/07/2016	18:48:38	999	3,759	25,6290669545306
12/07/2016	18:48:39	226	3,986	25,6290669545306
12/07/2016	18:48:39	467	4,227	25,6641111176534
12/07/2016	18:48:39	813	4,573	25,6290669545306
12/07/2016	18:48:39	920	4,68	25,6290669545306
12/07/2016	18:48:40	406	5,166	25,6290669545306
12/07/2016	18:48:40	528	5,288	25,6290669545306
12/07/2016	18:48:40	862	5,622	25,6115405834996
12/07/2016	18:48:41	085	5,845	25,6465904654603
12/07/2016	18:48:41	205	5,965	25,6465904654603
12/07/2016	18:48:41	612	6,372	25,5940113510016
12/07/2016	18:48:41	702	6,462	25,6465904654603
12/07/2016	18:48:41	901	6,661	25,6290669545306
12/07/2016	18:48:42	078	6,838	25,6290669545306
12/07/2016	18:48:42	465	7,225	25,6115405834996
12/07/2016	18:48:42	768	7,528	25,6290669545306
12/07/2016	18:48:42	949	7,709	25,6115405834996
12/07/2016	18:48:43	323	8,083	25,6290669545306
12/07/2016	18:48:43	520	8,28	25,6465904654603
12/07/2016	18:48:43	896	8,656	25,6290669545306
12/07/2016	18:48:44	066	8,826	25,6641111176534
12/07/2016	18:48:44	448	9,208	25,6641111176534
12/07/2016	18:48:44	591	9,351	25,6465904654603
12/07/2016	18:48:44	923	9,683	25,6465904654603
12/07/2016	18:48:45	116	9,876	25,6290669545306
12/07/2016	18:48:45	235	9,995	25,6290669545306
12/07/2016	18:48:45	455	10,215	25,6991438512833
12/07/2016	18:48:45	802	10,562	25,6115405834996
12/07/2016	18:48:45	947	10,707	25,5940113510016
12/07/2016	18:48:46	268	11,028	25,5940113510016
12/07/2016	18:48:46	514	11,274	25,6115405834996
12/07/2016	18:48:46	643	11,403	25,5940113510016
12/07/2016	18:48:47	006	11,766	25,5940113510016
12/07/2016	18:48:47	270	12,03	25,5940113510016
12/07/2016	18:48:47	523	12,283	25,5940113510016
12/07/2016	18:48:47	888	12,648	25,5940113510016
12/07/2016	18:48:48	190	12,95	25,6290669545306
12/07/2016	18:48:48	328	13,088	25,6115405834996
12/07/2016	18:48:48	473	13,233	25,5940113510016
12/07/2016	18:48:48	793	13,553	25,6290669545306
12/07/2016	18:48:48	999	13,759	25,6290669545306
12/07/2016	18:48:49	350	14,11	25,6290669545306
12/07/2016	18:48:49	487	14,247	25,6115405834996
12/07/2016	18:48:49	802	14,562	25,6290669545306
12/07/2016	18:48:50	159	14,919	25,6290669545306
12/07/2016	18:48:50	382	15,142	25,6115405834996
12/07/2016	18:48:50	721	15,481	25,5940113510016
12/07/2016	18:48:50	851	15,611	25,5940113510016
12/07/2016	18:48:51	183	15,943	25,5940113510016
12/07/2016	18:48:51	550	16,31	25,5764792556698
12/07/2016	18:48:51	697	16,457	25,5589442961364
12/07/2016	18:48:52	080	16,84	25,5589442961364
12/07/2016	18:48:52	212	16,972	25,5940113510016
12/07/2016	18:48:52	555	17,315	25,5764792556698
12/07/2016	18:48:52	910	17,67	25,5589442961364
12/07/2016	18:48:53	133	17,893	25,5764792556698
12/07/2016	18:48:53	429	18,189	25,5764792556698
12/07/2016	18:48:53	854	18,614	25,5589442961364
12/07/2016	18:48:54	172	18,932	25,5764792556698
12/07/2016	18:48:54	440	19,2	25,5589442961364
12/07/2016	18:48:54	599	19,359	25,5589442961364
12/07/2016	18:48:54	882	19,642	25,5589442961364
12/07/2016	18:48:54	998	19,758	25,5764792556698
12/07/2016	18:48:55	196	19,956	25,5414064710326
12/07/2016	18:48:55	509	20,269	25,5414064710326
12/07/2016	18:48:55	826	20,586	25,5589442961364
12/07/2016	18:48:56	000	20,76	25,5589442961364
12/07/2016	18:48:56	859	21,619	25,6290669545306
12/07/2016	18:48:56	991	21,751	25,5940113510016
12/07/2016	18:48:57	401	22,161	25,6290669545306
12/07/2016	18:48:57	762	22,522	25,6115405834996
12/07/2016	18:48:58	076	22,836	25,6290669545306
12/07/2016	18:48:58	224	22,984	25,6465904654603
12/07/2016	18:48:58	514	23,274	25,6465904654603
12/07/2016	18:48:58	883	23,643	25,5940113510016
12/07/2016	18:48:59	074	23,834	25,5940113510016
12/07/2016	18:48:59	192	23,952	25,5940113510016
12/07/2016	18:48:59	791	24,551	25,6290669545306
12/07/2016	18:48:59	879	24,639	25,6641111176534
12/07/2016	18:49:00	260	25,02	25,6641111176534
12/07/2016	18:49:00	507	25,267	25,6816289124735
12/07/2016	18:49:00	811	25,571	25,6816289124735
12/07/2016	18:49:01	020	25,78	25,6816289124735
12/07/2016	18:49:01	320	26,08	25,6991438512833
12/07/2016	18:49:01	678	26,438	25,7166559354445
12/07/2016	18:49:02	029	26,789	25,6641111176534
12/07/2016	18:49:02	393	27,153	25,6465904654603
12/07/2016	18:49:02	550	27,31	25,5940113510016
12/07/2016	18:49:02	919	27,679	25,5940113510016
12/07/2016	18:49:03	068	27,828	25,6115405834996
12/07/2016	18:49:03	194	27,954	25,5940113510016
12/07/2016	18:49:03	579	28,339	25,5940113510016
12/07/2016	18:49:03	710	28,47	25,6115405834996
12/07/2016	18:49:04	035	28,795	25,5940113510016
12/07/2016	18:49:04	213	28,973	25,5940113510016
12/07/2016	18:49:05	076	29,836	25,5764792556698
12/07/2016	18:49:05	226	29,986	25,6115405834996
12/07/2016	18:49:05	411	30,171	25,6115405834996
12/07/2016	18:49:05	808	30,568	25,5589442961364
12/07/2016	18:49:05	947	30,707	25,5940113510016
12/07/2016	18:49:06	137	30,897	25,6115405834996
12/07/2016	18:49:06	490	31,25	25,5940113510016
12/07/2016	18:49:06	891	31,651	25,5414064710326
12/07/2016	18:49:07	032	31,792	25,5063222186332
12/07/2016	18:49:07	394	32,154	25,5238657789885
12/07/2016	18:49:07	492	32,252	25,5063222186332
12/07/2016	18:49:07	853	32,613	25,5238657789885
12/07/2016	18:49:08	085	32,845	25,5238657789885
12/07/2016	18:49:08	232	32,992	25,5764792556698
12/07/2016	18:49:08	568	33,328	25,5764792556698
12/07/2016	18:49:08	892	33,652	25,5589442961364
12/07/2016	18:49:09	026	33,786	25,5589442961364
12/07/2016	18:49:09	469	34,229	25,5589442961364
