Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:14:04	901	0	29,6764221191406
15/07/2016	20:14:05	269	0,368	29,6666393280029
15/07/2016	20:14:05	382	0,481	29,6862049102783
15/07/2016	20:14:05	816	0,915	29,6323928833008
15/07/2016	20:14:06	078	1,177	29,6226062774658
15/07/2016	20:14:06	197	1,296	29,6372871398926
15/07/2016	20:14:06	372	1,471	29,6959857940674
15/07/2016	20:14:06	895	1,994	29,6372871398926
15/07/2016	20:14:07	040	2,139	29,6519641876221
15/07/2016	20:14:07	411	2,51	29,7057666778564
15/07/2016	20:14:07	762	2,861	29,6372871398926
15/07/2016	20:14:07	915	3,014	29,7204360961914
15/07/2016	20:14:08	477	3,576	29,6862049102783
15/07/2016	20:14:09	362	4,461	29,7497673034668
15/07/2016	20:14:09	671	4,77	29,7351016998291
15/07/2016	20:14:09	817	4,916	29,7790927886963
15/07/2016	20:14:10	273	5,372	29,7448787689209
15/07/2016	20:14:10	410	5,509	29,7644309997559
15/07/2016	20:14:10	760	5,859	29,7839794158936
15/07/2016	20:14:11	071	6,17	29,774206161499
15/07/2016	20:14:11	172	6,271	29,8181800842285
15/07/2016	20:14:11	365	6,464	29,6959857940674
15/07/2016	20:14:11	745	6,844	29,7204360961914
15/07/2016	20:14:11	885	6,984	29,7057666778564
15/07/2016	20:14:12	559	7,658	29,7155456542969
15/07/2016	20:14:12	882	7,981	29,7253246307373
15/07/2016	20:14:13	052	8,151	29,6862049102783
15/07/2016	20:14:13	462	8,561	29,7204360961914
15/07/2016	20:14:13	632	8,731	29,7351016998291
15/07/2016	20:14:13	782	8,881	29,7008762359619
15/07/2016	20:14:14	027	9,126	29,774206161499
15/07/2016	20:14:14	436	9,535	29,710657119751
15/07/2016	20:14:14	528	9,627	29,7448787689209
15/07/2016	20:14:14	739	9,838	29,6813144683838
15/07/2016	20:14:15	143	10,242	29,6519641876221
15/07/2016	20:14:15	211	10,31	29,6617488861084
15/07/2016	20:14:15	698	10,797	29,6910953521729
15/07/2016	20:14:15	946	11,045	29,7644309997559
15/07/2016	20:14:16	088	11,187	29,6421794891357
15/07/2016	20:14:16	495	11,594	29,6910953521729
15/07/2016	20:14:16	761	11,86	29,6275005340576
15/07/2016	20:14:17	034	12,133	29,6226062774658
15/07/2016	20:14:17	365	12,464	29,7448787689209
15/07/2016	20:14:17	521	12,62	29,6519641876221
15/07/2016	20:14:17	822	12,921	29,6470718383789
15/07/2016	20:14:18	116	13,215	29,6128196716309
15/07/2016	20:14:18	368	13,467	29,578556060791
15/07/2016	20:14:18	529	13,628	29,5638694763184
15/07/2016	20:14:18	679	13,778	29,6177139282227
15/07/2016	20:14:19	041	14,14	29,6128196716309
15/07/2016	20:14:19	179	14,278	29,5883464813232
15/07/2016	20:14:19	351	14,45	29,578556060791
15/07/2016	20:14:19	779	14,878	29,5589733123779
15/07/2016	20:14:19	964	15,063	29,5491809844971
15/07/2016	20:14:20	131	15,23	29,5540771484375
15/07/2016	20:14:20	498	15,597	29,5932426452637
15/07/2016	20:14:20	747	15,846	29,5981369018555
15/07/2016	20:14:20	895	15,994	29,6910953521729
15/07/2016	20:14:21	309	16,408	29,5687656402588
15/07/2016	20:14:21	470	16,569	29,51979637146
15/07/2016	20:14:21	853	16,952	29,495304107666
15/07/2016	20:14:22	127	17,226	29,578556060791
15/07/2016	20:14:22	315	17,414	29,5442848205566
15/07/2016	20:14:22	741	17,84	29,5491809844971
15/07/2016	20:14:22	806	17,905	29,6470718383789
15/07/2016	20:14:23	261	18,36	29,5491809844971
15/07/2016	20:14:23	410	18,509	29,6177139282227
15/07/2016	20:14:24	006	19,105	29,5100002288818
15/07/2016	20:14:24	260	19,359	29,5589733123779
15/07/2016	20:14:24	630	19,729	29,6372871398926
15/07/2016	20:14:25	011	20,11	29,5051021575928
15/07/2016	20:14:25	153	20,252	29,5442848205566
15/07/2016	20:14:25	358	20,457	29,51979637146
15/07/2016	20:14:25	523	20,622	29,51979637146
15/07/2016	20:14:25	735	20,834	29,4806060791016
15/07/2016	20:14:26	155	21,254	29,5002040863037
15/07/2016	20:14:26	446	21,545	29,4855060577393
15/07/2016	20:14:26	495	21,594	29,5491809844971
15/07/2016	20:14:27	116	22,215	29,5002040863037
15/07/2016	20:14:27	403	22,502	29,6764221191406
15/07/2016	20:14:27	553	22,652	29,5589733123779
15/07/2016	20:14:27	910	23,009	29,5051021575928
15/07/2016	20:14:28	592	23,691	29,5051021575928
15/07/2016	20:14:28	729	23,828	29,5834522247314
15/07/2016	20:14:29	147	24,246	29,436502456665
15/07/2016	20:14:29	286	24,385	29,5491809844971
15/07/2016	20:14:29	517	24,616	29,4659080505371
15/07/2016	20:14:29	960	25,059	29,3972835540771
15/07/2016	20:14:30	102	25,201	29,4659080505371
15/07/2016	20:14:30	431	25,53	29,490406036377
15/07/2016	20:14:30	526	25,625	29,5051021575928
15/07/2016	20:14:30	707	25,806	29,436502456665
15/07/2016	20:14:31	363	26,462	29,4806060791016
15/07/2016	20:14:31	530	26,629	29,4610061645508
15/07/2016	20:14:31	662	26,761	29,5100002288818
15/07/2016	20:14:31	848	26,947	29,4070892333984
15/07/2016	20:14:31	993	27,092	29,436502456665
15/07/2016	20:14:32	435	27,534	29,4708080291748
15/07/2016	20:14:32	689	27,788	29,4266986846924
15/07/2016	20:14:33	010	28,109	29,51979637146
15/07/2016	20:14:33	232	28,331	29,5540771484375
15/07/2016	20:14:33	362	28,461	29,5589733123779
15/07/2016	20:14:33	754	28,853	29,4266986846924
15/07/2016	20:14:34	307	29,406	29,5002040863037
15/07/2016	20:14:34	660	29,759	29,495304107666
15/07/2016	20:14:34	964	30,063	29,4266986846924
15/07/2016	20:14:35	131	30,23	29,4266986846924
15/07/2016	20:14:35	419	30,518	29,4610061645508
15/07/2016	20:14:35	547	30,646	29,4217967987061
15/07/2016	20:14:35	979	31,078	29,5491809844971
15/07/2016	20:14:36	319	31,418	29,4168949127197
15/07/2016	20:14:36	445	31,544	29,3727645874023
15/07/2016	20:14:36	768	31,867	29,4708080291748
15/07/2016	20:14:37	203	32,302	29,4414024353027
15/07/2016	20:14:37	368	32,467	29,3923797607422
15/07/2016	20:14:37	493	32,592	29,3972835540771
15/07/2016	20:14:37	652	32,751	29,3972835540771
15/07/2016	20:14:37	804	32,903	29,3923797607422
15/07/2016	20:14:38	484	33,583	29,4659080505371
15/07/2016	20:14:38	637	33,736	29,4217967987061
15/07/2016	20:14:39	049	34,148	29,3923797607422
15/07/2016	20:14:39	472	34,571	29,3482418060303
15/07/2016	20:14:39	612	34,711	29,3629550933838
