Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				0.1
Reflected temperature				20
Location X				44
Location Y				93
Size X				171
Size Y				37
Surface (pixels)				6327

Date	Time	Milliseconds	Relative time	Bx1.Max.
08/07/2016	15:35:06	095	0	25,0434487348186
08/07/2016	15:35:06	218	0,123	25,094200328522
08/07/2016	15:35:06	595	0,5	25,0485249484454
08/07/2016	15:35:07	024	0,929	25,0891262230253
08/07/2016	15:35:07	214	1,119	25,0789773096727
08/07/2016	15:35:07	640	1,545	25,1702838395435
08/07/2016	15:35:07	922	1,827	25,1246400469965
08/07/2016	15:35:08	055	1,96	25,1550713455711
08/07/2016	15:35:08	742	2,647	25,0891262230253
08/07/2016	15:35:08	932	2,837	25,0891262230253
08/07/2016	15:35:09	311	3,216	25,1144944100557
08/07/2016	15:35:09	438	3,343	25,0536009277079
08/07/2016	15:35:09	634	3,539	25,094200328522
08/07/2016	15:35:10	065	3,97	25,1601424105481
08/07/2016	15:35:10	337	4,242	25,1550713455711
08/07/2016	15:35:10	609	4,514	25,073902501753
08/07/2016	15:35:10	763	4,668	25,1094212406765
08/07/2016	15:35:11	310	5,215	25,0840518834195
08/07/2016	15:35:11	599	5,504	25,0383722867954
08/07/2016	15:35:11	887	5,792	25,073902501753
08/07/2016	15:35:12	215	6,12	25,0079086745455
08/07/2016	15:35:12	373	6,278	25,023141536029
08/07/2016	15:35:12	902	6,807	25,0485249484454
08/07/2016	15:35:13	155	7,06	25,0485249484454
08/07/2016	15:35:13	471	7,376	25,0383722867954
08/07/2016	15:35:13	723	7,628	25,0282186874326
08/07/2016	15:35:13	849	7,754	25,073902501753
08/07/2016	15:35:14	262	8,167	25,0129865296174
08/07/2016	15:35:14	488	8,393	25,0383722867954
08/07/2016	15:35:14	915	8,82	25,073902501753
08/07/2016	15:35:15	087	8,992	25,0637521832676
08/07/2016	15:35:15	418	9,323	25,0637521832676
08/07/2016	15:35:15	557	9,462	25,0485249484454
08/07/2016	15:35:15	777	9,682	25,0789773096727
08/07/2016	15:35:15	913	9,818	25,0383722867954
08/07/2016	15:35:16	122	10,027	25,1652132418616
08/07/2016	15:35:16	486	10,391	25,1043478373158
08/07/2016	15:35:16	868	10,773	25,0891262230253
08/07/2016	15:35:17	157	11,062	25,1094212406765
08/07/2016	15:35:17	515	11,42	25,1144944100557
08/07/2016	15:35:17	899	11,804	25,1297125146219
08/07/2016	15:35:18	059	11,964	25,1500000468988
08/07/2016	15:35:18	209	12,114	25,1094212406765
08/07/2016	15:35:18	540	12,445	25,2057714842983
08/07/2016	15:35:19	027	12,932	25,1652132418616
08/07/2016	15:35:19	315	13,22	25,1804243341393
08/07/2016	15:35:19	460	13,365	25,2057714842983
08/07/2016	15:35:19	684	13,589	25,1854942311169
08/07/2016	15:35:20	148	14,053	25,1702838395435
08/07/2016	15:35:20	314	14,219	25,1500000468988
08/07/2016	15:35:20	434	14,339	25,1652132418616
08/07/2016	15:35:20	605	14,51	25,1601424105481
08/07/2016	15:35:21	016	14,921	25,2108402140703
08/07/2016	15:35:21	144	15,049	25,1601424105481
08/07/2016	15:35:21	518	15,423	25,1500000468988
08/07/2016	15:35:21	751	15,656	25,2057714842983
08/07/2016	15:35:22	151	16,056	25,1753542036255
08/07/2016	15:35:22	523	16,428	25,1500000468988
08/07/2016	15:35:22	843	16,748	25,3627937436881
08/07/2016	15:35:23	189	17,094	25,1753542036255
08/07/2016	15:35:23	389	17,294	25,1905638945898
08/07/2016	15:35:23	823	17,728	25,1449285144997
08/07/2016	15:35:24	327	18,232	25,1601424105481
08/07/2016	15:35:24	561	18,466	25,1702838395435
08/07/2016	15:35:24	786	18,691	25,1652132418616
08/07/2016	15:35:24	917	18,822	25,1398567483416
08/07/2016	15:35:25	323	19,228	25,1601424105481
08/07/2016	15:35:25	661	19,566	25,1550713455711
08/07/2016	15:35:25	828	19,733	25,1601424105481
08/07/2016	15:35:26	189	20,094	25,2108402140703
08/07/2016	15:35:26	669	20,574	25,1449285144997
08/07/2016	15:35:26	827	20,732	25,1449285144997
08/07/2016	15:35:27	072	20,977	25,1550713455711
08/07/2016	15:35:27	273	21,178	25,1398567483416
08/07/2016	15:35:27	454	21,359	25,1195673454851
08/07/2016	15:35:27	855	21,76	25,1702838395435
08/07/2016	15:35:27	984	21,889	25,1702838395435
08/07/2016	15:35:28	382	22,287	25,1854942311169
08/07/2016	15:35:28	460	22,365	25,2159087104962
08/07/2016	15:35:29	213	23,118	25,1854942311169
08/07/2016	15:35:29	459	23,364	25,2716467794136
08/07/2016	15:35:29	599	23,504	25,2716467794136
08/07/2016	15:35:29	786	23,691	25,2716467794136
08/07/2016	15:35:30	142	24,047	25,2260450034371
08/07/2016	15:35:30	613	24,518	25,2311128000154
08/07/2016	15:35:30	842	24,747	25,2260450034371
08/07/2016	15:35:31	287	25,192	25,134784748393
08/07/2016	15:35:31	633	25,538	25,1905638945898
08/07/2016	15:35:31	727	25,632	25,1854942311169
08/07/2016	15:35:31	902	25,807	25,2209769736079
08/07/2016	15:35:32	274	26,179	25,134784748393
08/07/2016	15:35:32	401	26,306	25,1702838395435
08/07/2016	15:35:32	916	26,821	25,1702838395435
08/07/2016	15:35:33	162	27,067	25,2767124781597
08/07/2016	15:35:33	619	27,524	25,1550713455711
08/07/2016	15:35:33	946	27,851	25,1753542036255
08/07/2016	15:35:34	121	28,026	25,1449285144997
08/07/2016	15:35:34	323	28,228	25,1601424105481
08/07/2016	15:35:34	738	28,643	25,1956333245899
08/07/2016	15:35:34	993	28,898	25,2311128000154
08/07/2016	15:35:35	337	29,242	25,134784748393
08/07/2016	15:35:35	519	29,424	25,1601424105481
08/07/2016	15:35:35	919	29,824	25,1398567483416
08/07/2016	15:35:36	095	30	25,1652132418616
08/07/2016	15:35:36	505	30,41	25,2260450034371
08/07/2016	15:35:36	781	30,686	25,1297125146219
08/07/2016	15:35:36	972	30,877	25,1246400469965
08/07/2016	15:35:37	153	31,058	25,1144944100557
08/07/2016	15:35:37	635	31,54	25,2108402140703
08/07/2016	15:35:37	979	31,884	25,1753542036255
08/07/2016	15:35:38	137	32,042	25,2311128000154
08/07/2016	15:35:38	646	32,551	25,1905638945898
08/07/2016	15:35:38	797	32,702	25,1804243341393
08/07/2016	15:35:39	023	32,928	25,1956333245899
08/07/2016	15:35:39	221	33,126	25,1702838395435
08/07/2016	15:35:39	565	33,47	25,291908176919
08/07/2016	15:35:39	671	33,576	25,2057714842983
08/07/2016	15:35:40	095	34	25,2108402140703
08/07/2016	15:35:40	401	34,306	25,2007025211488
08/07/2016	15:35:40	583	34,488	25,2108402140703
