Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:27:33	442	0	26,6829795837402
18/07/2016	17:27:33	588	0,146	26,5774555206299
18/07/2016	17:27:34	066	0,624	26,6578636169434
18/07/2016	17:27:34	248	0,806	26,6377658843994
18/07/2016	17:27:34	401	0,959	26,5623722076416
18/07/2016	17:27:34	756	1,314	26,5774555206299
18/07/2016	17:27:35	016	1,574	26,597562789917
18/07/2016	17:27:35	289	1,847	26,7482528686523
18/07/2016	17:27:35	488	2,046	26,6025886535645
18/07/2016	17:27:35	842	2,4	26,6930236816406
18/07/2016	17:27:36	052	2,61	26,6478157043457
18/07/2016	17:27:36	440	2,998	26,5925350189209
18/07/2016	17:27:36	688	3,246	26,597562789917
18/07/2016	17:27:36	808	3,366	26,6025886535645
18/07/2016	17:27:37	264	3,822	26,6277160644531
18/07/2016	17:27:37	371	3,929	26,5673999786377
18/07/2016	17:27:38	039	4,597	26,5523147583008
18/07/2016	17:27:38	257	4,815	26,54225730896
18/07/2016	17:27:38	386	4,944	26,5321998596191
18/07/2016	17:27:38	776	5,334	26,5221405029297
18/07/2016	17:27:39	078	5,636	26,5221405029297
18/07/2016	17:27:39	355	5,913	26,4768619537354
18/07/2016	17:27:39	661	6,219	26,6176662445068
18/07/2016	17:27:39	992	6,55	26,4667987823486
18/07/2016	17:27:40	505	7,063	26,5925350189209
18/07/2016	17:27:40	787	7,345	26,5673999786377
18/07/2016	17:27:40	954	7,512	26,5673999786377
18/07/2016	17:27:41	230	7,788	26,6176662445068
18/07/2016	17:27:41	516	8,074	26,6076145172119
18/07/2016	17:27:41	588	8,146	26,6176662445068
18/07/2016	17:27:41	817	8,375	26,6025886535645
18/07/2016	17:27:42	207	8,765	26,6176662445068
18/07/2016	17:27:42	610	9,168	26,597562789917
18/07/2016	17:27:42	917	9,475	26,5120811462402
18/07/2016	17:27:43	061	9,619	26,5372295379639
18/07/2016	17:27:43	279	9,837	26,6126403808594
18/07/2016	17:27:43	601	10,159	26,517110824585
18/07/2016	17:27:43	764	10,322	26,6729335784912
18/07/2016	17:27:44	174	10,732	26,6126403808594
18/07/2016	17:27:44	461	11,019	26,6126403808594
18/07/2016	17:27:44	817	11,375	26,6176662445068
18/07/2016	17:27:45	044	11,602	26,6930236816406
18/07/2016	17:27:45	254	11,812	26,6427917480469
18/07/2016	17:27:45	602	12,16	26,6427917480469
18/07/2016	17:27:45	898	12,456	26,6980457305908
18/07/2016	17:27:46	067	12,625	26,6779556274414
18/07/2016	17:27:46	424	12,982	26,7281723022461
18/07/2016	17:27:46	576	13,134	26,7633113861084
18/07/2016	17:27:46	949	13,507	26,7382144927979
18/07/2016	17:27:47	046	13,604	26,6679096221924
18/07/2016	17:27:47	219	13,777	26,718132019043
18/07/2016	17:27:47	590	14,148	26,6880016326904
18/07/2016	17:27:47	705	14,263	26,7080898284912
18/07/2016	17:27:47	907	14,465	26,718132019043
18/07/2016	17:27:48	322	14,88	26,7833843231201
18/07/2016	17:27:48	655	15,213	26,7633113861084
18/07/2016	17:27:49	127	15,685	26,7733478546143
18/07/2016	17:27:49	339	15,897	26,7984390258789
18/07/2016	17:27:49	475	16,033	26,7783679962158
18/07/2016	17:27:49	680	16,238	26,703067779541
18/07/2016	17:27:50	031	16,589	26,7833843231201
18/07/2016	17:27:50	341	16,899	26,793420791626
18/07/2016	17:27:50	445	17,003	26,8686599731445
18/07/2016	17:27:50	643	17,201	26,8435859680176
18/07/2016	17:27:50	955	17,513	26,8185062408447
18/07/2016	17:27:51	363	17,921	26,8435859680176
18/07/2016	17:27:51	628	18,186	26,9238033294678
18/07/2016	17:27:51	740	18,298	26,8486003875732
18/07/2016	17:27:51	905	18,463	26,8987407684326
18/07/2016	17:27:52	044	18,602	26,8686599731445
18/07/2016	17:27:52	432	18,99	26,9137783050537
18/07/2016	17:27:52	623	19,181	26,8786869049072
18/07/2016	17:27:52	770	19,328	26,823522567749
18/07/2016	17:27:53	162	19,72	26,7783679962158
18/07/2016	17:27:53	509	20,067	26,8435859680176
18/07/2016	17:27:54	015	20,573	26,7683296203613
18/07/2016	17:27:54	121	20,679	26,788402557373
18/07/2016	17:27:54	328	20,886	26,823522567749
18/07/2016	17:27:54	649	21,207	26,6980457305908
18/07/2016	17:27:54	959	21,517	26,718132019043
18/07/2016	17:27:55	089	21,647	26,8084735870361
18/07/2016	17:27:55	484	22,042	26,8937282562256
18/07/2016	17:27:55	857	22,415	26,8385696411133
18/07/2016	17:27:56	245	22,803	26,788402557373
18/07/2016	17:27:56	462	23,02	26,7281723022461
18/07/2016	17:27:56	772	23,33	26,7833843231201
18/07/2016	17:27:57	083	23,641	26,8084735870361
18/07/2016	17:27:57	283	23,841	26,7833843231201
18/07/2016	17:27:57	444	24,002	26,788402557373
18/07/2016	17:27:57	810	24,368	26,823522567749
18/07/2016	17:27:57	976	24,534	26,8586311340332
18/07/2016	17:27:58	131	24,689	26,7080898284912
18/07/2016	17:27:58	506	25,064	26,7432327270508
18/07/2016	17:27:58	679	25,237	26,8285388946533
18/07/2016	17:27:59	078	25,636	26,8134899139404
18/07/2016	17:27:59	276	25,834	26,7833843231201
18/07/2016	17:27:59	727	26,285	26,7331924438477
18/07/2016	17:28:00	096	26,654	26,7331924438477
18/07/2016	17:28:00	195	26,753	26,7683296203613
18/07/2016	17:28:00	884	27,442	26,7331924438477
18/07/2016	17:28:01	018	27,576	26,8837013244629
18/07/2016	17:28:01	364	27,922	26,793420791626
18/07/2016	17:28:01	743	28,301	26,718132019043
18/07/2016	17:28:01	864	28,422	26,9238033294678
18/07/2016	17:28:02	012	28,57	26,7984390258789
18/07/2016	17:28:02	220	28,778	26,7733478546143
18/07/2016	17:28:02	367	28,925	26,7432327270508
18/07/2016	17:28:02	780	29,338	26,8134899139404
18/07/2016	17:28:02	932	29,49	26,788402557373
18/07/2016	17:28:03	071	29,629	26,7683296203613
18/07/2016	17:28:03	505	30,063	26,7482528686523
18/07/2016	17:28:03	886	30,444	26,7532730102539
18/07/2016	17:28:04	011	30,569	26,8084735870361
18/07/2016	17:28:04	170	30,728	26,823522567749
18/07/2016	17:28:04	589	31,147	26,7633113861084
18/07/2016	17:28:04	736	31,294	26,8937282562256
18/07/2016	17:28:05	000	31,558	26,8536167144775
18/07/2016	17:28:05	105	31,663	26,8285388946533
18/07/2016	17:28:05	347	31,905	26,8385696411133
18/07/2016	17:28:05	538	32,096	26,8185062408447
18/07/2016	17:28:06	097	32,655	26,8034553527832
18/07/2016	17:28:06	660	33,218	26,8134899139404
18/07/2016	17:28:06	971	33,529	26,8736743927002
