Plot 2 FLIR A320(30 Hz)EIP - 48200894

				Bx2.Max.
Emissivity				0.85
Distance				0.2
Reflected temperature				24
Location X				5
Location Y				31
Size X				309
Size Y				194
Surface (pixels)				59946

Date	Time	Milliseconds	Relative time	Bx2.Max.
26/07/2016	10:31:45	841	0	25,6775356549949
26/07/2016	10:31:46	350	0,509	25,6944708272868
26/07/2016	10:31:46	450	0,609	25,671890020984
26/07/2016	10:31:46	832	0,991	25,6944708272868
26/07/2016	10:31:46	975	1,134	25,7903878459936
26/07/2016	10:31:47	401	1,56	25,7226903512466
26/07/2016	10:31:47	457	1,616	25,6831810006867
26/07/2016	10:31:47	715	1,874	25,7565442774192
26/07/2016	10:31:47	858	2,017	25,7734673558209
26/07/2016	10:31:47	979	2,138	25,7226903512466
26/07/2016	10:31:48	195	2,354	25,8524075184472
26/07/2016	10:31:48	604	2,763	25,8073057491067
26/07/2016	10:31:48	811	2,97	25,711403405881
26/07/2016	10:31:49	126	3,285	25,7057595011325
26/07/2016	10:31:49	273	3,432	25,7565442774192
26/07/2016	10:31:49	794	3,953	25,6662440986104
26/07/2016	10:31:49	939	4,098	25,6775356549949
26/07/2016	10:31:50	312	4,471	25,6775356549949
26/07/2016	10:31:50	566	4,725	25,8298589309627
26/07/2016	10:31:50	706	4,865	25,8073057491067
26/07/2016	10:31:50	983	5,142	25,6831810006867
26/07/2016	10:31:51	163	5,322	25,7283333919506
26/07/2016	10:31:51	369	5,528	25,6493046008787
26/07/2016	10:31:51	903	6,062	25,6323625063158
26/07/2016	10:31:52	033	6,192	25,6436575246194
26/07/2016	10:31:52	230	6,389	25,6605978878308
26/07/2016	10:31:52	579	6,738	25,6493046008787
26/07/2016	10:31:52	757	6,916	25,7057595011325
26/07/2016	10:31:53	084	7,243	25,6662440986104
26/07/2016	10:31:53	414	7,573	25,6493046008787
26/07/2016	10:31:53	620	7,779	25,671890020984
26/07/2016	10:31:54	006	8,165	25,6662440986104
26/07/2016	10:31:54	196	8,355	25,7678266173257
26/07/2016	10:31:54	365	8,524	25,8580439477719
26/07/2016	10:31:54	704	8,863	25,7396186096182
26/07/2016	10:31:54	804	8,963	25,7001153082823
26/07/2016	10:31:55	046	9,205	25,7791078067349
26/07/2016	10:31:55	204	9,363	25,7001153082823
26/07/2016	10:31:55	400	9,559	25,8242210663291
26/07/2016	10:31:55	769	9,928	25,7170470225712
26/07/2016	10:31:56	079	10,238	25,8016667354478
26/07/2016	10:31:56	359	10,518	25,7001153082823
26/07/2016	10:31:56	610	10,769	25,7339761447267
26/07/2016	10:31:56	778	10,937	25,7339761447267
26/07/2016	10:31:57	096	11,255	25,8749515143255
26/07/2016	10:31:57	220	11,379	25,7396186096182
26/07/2016	10:31:57	797	11,956	25,7960274344246
26/07/2016	10:31:58	115	12,274	25,671890020984
26/07/2016	10:31:58	315	12,474	25,711403405881
26/07/2016	10:31:58	480	12,639	25,7057595011325
26/07/2016	10:31:58	759	12,918	25,6380101597795
26/07/2016	10:31:59	100	13,259	25,7339761447267
26/07/2016	10:31:59	247	13,406	25,7057595011325
26/07/2016	10:32:00	026	14,185	25,7339761447267
26/07/2016	10:32:00	176	14,335	25,7678266173257
26/07/2016	10:32:00	541	14,7	25,6436575246194
26/07/2016	10:32:00	886	15,045	25,6493046008787
26/07/2016	10:32:01	101	15,26	25,6380101597795
26/07/2016	10:32:01	416	15,575	25,6549513886014
26/07/2016	10:32:01	614	15,773	25,671890020984
26/07/2016	10:32:01	931	16,09	25,6662440986104
26/07/2016	10:32:02	248	16,407	25,7283333919506
26/07/2016	10:32:02	577	16,736	25,7452607866685
26/07/2016	10:32:02	743	16,902	25,5984705219893
26/07/2016	10:32:03	092	17,251	25,6775356549949
26/07/2016	10:32:03	186	17,345	25,6210663333422
26/07/2016	10:32:03	681	17,84	25,6605978878308
26/07/2016	10:32:03	912	18,071	25,9256587312962
26/07/2016	10:32:04	264	18,423	25,6831810006867
26/07/2016	10:32:04	490	18,649	25,7452607866685
26/07/2016	10:32:04	584	18,743	25,7283333919506
26/07/2016	10:32:04	959	19,118	25,7001153082823
26/07/2016	10:32:05	137	19,296	25,7509026759211
26/07/2016	10:32:05	273	19,432	25,7226903512466
26/07/2016	10:32:05	449	19,608	25,7509026759211
26/07/2016	10:32:05	829	19,988	25,7396186096182
26/07/2016	10:32:06	009	20,168	25,7226903512466
26/07/2016	10:32:06	364	20,523	25,7226903512466
26/07/2016	10:32:06	638	20,797	25,7057595011325
26/07/2016	10:32:06	795	20,954	25,6775356549949
26/07/2016	10:32:07	191	21,35	25,711403405881
26/07/2016	10:32:07	400	21,559	25,6605978878308
26/07/2016	10:32:07	589	21,748	25,7226903512466
26/07/2016	10:32:07	828	21,987	25,7001153082823
26/07/2016	10:32:08	151	22,31	25,7170470225712
26/07/2016	10:32:08	819	22,978	25,6154178137451
26/07/2016	10:32:09	018	23,177	25,6097690053497
26/07/2016	10:32:09	383	23,542	25,6323625063158
26/07/2016	10:32:09	551	23,71	25,6041199081124
26/07/2016	10:32:09	898	24,057	25,6549513886014
26/07/2016	10:32:10	120	24,279	25,6210663333422
26/07/2016	10:32:10	491	24,65	25,6831810006867
26/07/2016	10:32:10	651	24,81	25,6097690053497
26/07/2016	10:32:10	787	24,946	25,6210663333422
26/07/2016	10:32:11	198	25,357	25,6097690053497
26/07/2016	10:32:11	387	25,546	25,6323625063158
26/07/2016	10:32:11	499	25,658	25,5419607624424
26/07/2016	10:32:12	067	26,226	25,6380101597795
26/07/2016	10:32:12	210	26,369	25,6041199081124
26/07/2016	10:32:12	458	26,617	25,5984705219893
26/07/2016	10:32:12	836	26,995	25,6775356549949
26/07/2016	10:32:12	951	27,11	25,6154178137451
26/07/2016	10:32:13	565	27,724	25,6210663333422
26/07/2016	10:32:13	905	28,064	25,671890020984
26/07/2016	10:32:14	263	28,422	25,6380101597795
26/07/2016	10:32:14	625	28,784	25,7339761447267
26/07/2016	10:32:14	829	28,988	25,671890020984
26/07/2016	10:32:15	173	29,332	25,7001153082823
26/07/2016	10:32:15	321	29,48	25,7283333919506
26/07/2016	10:32:15	665	29,824	25,7678266173257
26/07/2016	10:32:15	827	29,986	25,7283333919506
26/07/2016	10:32:16	274	30,433	25,6775356549949
26/07/2016	10:32:16	386	30,545	25,6549513886014
26/07/2016	10:32:16	585	30,744	25,6775356549949
26/07/2016	10:32:16	952	31,111	25,7452607866685
26/07/2016	10:32:17	162	31,321	25,6775356549949
26/07/2016	10:32:17	480	31,639	25,7001153082823
26/07/2016	10:32:17	644	31,803	25,6549513886014
26/07/2016	10:32:18	036	32,195	25,6267145641846
26/07/2016	10:32:18	174	32,333	25,6775356549949
26/07/2016	10:32:18	580	32,739	25,5984705219893
26/07/2016	10:32:18	750	32,909	25,6662440986104
26/07/2016	10:32:19	170	33,329	25,5871708829118
26/07/2016	10:32:19	302	33,461	25,6097690053497
26/07/2016	10:32:19	768	33,927	25,6041199081124
26/07/2016	10:32:19	988	34,147	25,6436575246194
26/07/2016	10:32:20	258	34,417	25,6210663333422
26/07/2016	10:32:20	384	34,543	25,6097690053497
26/07/2016	10:32:20	545	34,704	25,6210663333422
26/07/2016	10:32:20	896	35,055	25,6944708272868
26/07/2016	10:32:21	049	35,208	25,6493046008787
26/07/2016	10:32:21	217	35,376	25,5419607624424
26/07/2016	10:32:21	419	35,578	25,5419607624424
26/07/2016	10:32:21	565	35,724	25,575870087768
26/07/2016	10:32:21	743	35,902	25,7057595011325
26/07/2016	10:32:22	234	36,393	25,5871708829118
26/07/2016	10:32:22	357	36,516	25,6154178137451
26/07/2016	10:32:22	482	36,641	25,5871708829118
26/07/2016	10:32:22	874	37,033	25,553265027883
26/07/2016	10:32:22	967	37,126	25,6097690053497
26/07/2016	10:32:23	429	37,588	25,5702192565619
26/07/2016	10:32:23	720	37,879	25,5419607624424
26/07/2016	10:32:23	968	38,127	25,5645681362083
26/07/2016	10:32:24	022	38,181	25,5984705219893
26/07/2016	10:32:24	493	38,652	25,5871708829118
26/07/2016	10:32:24	565	38,724	25,5928208469371
26/07/2016	10:32:24	780	38,939	25,671890020984
26/07/2016	10:32:25	046	39,205	25,6323625063158
26/07/2016	10:32:25	301	39,46	25,5702192565619
26/07/2016	10:32:25	569	39,728	25,5589167266632
26/07/2016	10:32:25	753	39,912	25,5306553395365
26/07/2016	10:32:25	879	40,038	25,553265027883
26/07/2016	10:32:26	060	40,219	25,5928208469371
26/07/2016	10:32:26	446	40,605	25,547613039824
26/07/2016	10:32:26	587	40,746	25,5645681362083
26/07/2016	10:32:26	783	40,942	25,553265027883
26/07/2016	10:32:26	903	41,062	25,5250021939246
26/07/2016	10:32:27	268	41,427	25,547613039824
26/07/2016	10:32:27	455	41,614	25,519348758815
26/07/2016	10:32:27	836	41,995	25,5080410199278
26/07/2016	10:32:27	981	42,14	25,5928208469371
26/07/2016	10:32:28	247	42,406	25,5815206298701
26/07/2016	10:32:28	554	42,713	25,575870087768
26/07/2016	10:32:28	681	42,84	25,5702192565619
26/07/2016	10:32:28	837	42,996	25,5702192565619
26/07/2016	10:32:29	183	43,342	25,5645681362083
26/07/2016	10:32:29	313	43,472	25,5363081956945
26/07/2016	10:32:29	823	43,982	25,5871708829118
26/07/2016	10:32:30	054	44,213	25,6041199081124
26/07/2016	10:32:30	223	44,382	25,6662440986104
26/07/2016	10:32:30	350	44,509	25,6662440986104
26/07/2016	10:32:30	796	44,955	25,6210663333422
26/07/2016	10:32:30	955	45,114	25,6493046008787
26/07/2016	10:32:31	329	45,488	25,7339761447267
26/07/2016	10:32:31	505	45,664	25,711403405881
26/07/2016	10:32:31	880	46,039	25,6605978878308
26/07/2016	10:32:32	126	46,285	25,6549513886014
26/07/2016	10:32:32	233	46,392	25,6662440986104
26/07/2016	10:32:32	621	46,78	25,6831810006867
26/07/2016	10:32:32	832	46,991	25,575870087768
26/07/2016	10:32:33	166	47,325	25,5589167266632
26/07/2016	10:32:33	336	47,495	25,6154178137451
26/07/2016	10:32:33	666	47,825	25,7283333919506
26/07/2016	10:32:33	966	48,125	25,5645681362083
26/07/2016	10:32:34	098	48,257	25,5928208469371
26/07/2016	10:32:34	432	48,591	25,6493046008787
26/07/2016	10:32:34	891	49,05	25,5645681362083
26/07/2016	10:32:35	075	49,234	25,5306553395365
26/07/2016	10:32:35	167	49,326	25,547613039824
26/07/2016	10:32:35	352	49,511	25,547613039824
26/07/2016	10:32:35	746	49,905	25,5250021939246
26/07/2016	10:32:35	920	50,079	25,5702192565619
26/07/2016	10:32:36	337	50,496	25,6605978878308
26/07/2016	10:32:36	532	50,691	25,6267145641846
26/07/2016	10:32:36	651	50,81	25,6267145641846
26/07/2016	10:32:36	795	50,954	25,6605978878308
26/07/2016	10:32:37	138	51,297	25,6210663333422
26/07/2016	10:32:37	271	51,43	25,6041199081124
26/07/2016	10:32:37	694	51,853	25,6154178137451
26/07/2016	10:32:38	648	52,807	25,7339761447267
26/07/2016	10:32:38	784	52,943	25,7226903512466
26/07/2016	10:32:38	922	53,081	25,6662440986104
26/07/2016	10:32:39	247	53,406	25,7226903512466
26/07/2016	10:32:39	395	53,554	25,6662440986104
26/07/2016	10:32:40	151	54,31	25,7396186096182
26/07/2016	10:32:40	366	54,525	25,8073057491067
26/07/2016	10:32:40	487	54,646	25,7903878459936
26/07/2016	10:32:40	906	55,065	25,7847479701114
26/07/2016	10:32:41	121	55,28	25,7339761447267
26/07/2016	10:32:41	266	55,425	25,7170470225712
26/07/2016	10:32:41	629	55,788	25,6888260581028
26/07/2016	10:32:41	827	55,986	25,6944708272868
26/07/2016	10:32:42	169	56,328	25,6888260581028
26/07/2016	10:32:42	575	56,734	25,5984705219893
26/07/2016	10:32:42	678	56,837	25,6493046008787
26/07/2016	10:32:42	891	57,05	25,6493046008787
26/07/2016	10:32:43	336	57,495	25,5984705219893
26/07/2016	10:32:43	583	57,742	25,7283333919506
26/07/2016	10:32:43	738	57,897	25,7396186096182
26/07/2016	10:32:44	075	58,234	25,6888260581028
26/07/2016	10:32:44	343	58,502	25,711403405881
26/07/2016	10:32:44	593	58,752	25,6888260581028
26/07/2016	10:32:44	731	58,89	25,7170470225712
26/07/2016	10:32:44	934	59,093	25,6267145641846
26/07/2016	10:32:45	266	59,425	25,6605978878308
26/07/2016	10:32:45	748	59,907	25,6944708272868
26/07/2016	10:32:45	934	60,093	25,6323625063158
26/07/2016	10:32:46	316	60,475	25,6210663333422
26/07/2016	10:32:46	490	60,649	25,6267145641846
26/07/2016	10:32:46	796	60,955	25,6662440986104
26/07/2016	10:32:47	095	61,254	25,7396186096182
26/07/2016	10:32:47	242	61,401	25,6097690053497
26/07/2016	10:32:47	408	61,567	25,5702192565619
26/07/2016	10:32:47	810	61,969	25,6041199081124
26/07/2016	10:32:47	999	62,158	25,5702192565619
26/07/2016	10:32:48	062	62,221	25,6267145641846
26/07/2016	10:32:48	304	62,463	25,6436575246194
26/07/2016	10:32:48	678	62,837	25,6097690053497
26/07/2016	10:32:49	083	63,242	25,6154178137451
26/07/2016	10:32:49	377	63,536	25,6210663333422
26/07/2016	10:32:49	540	63,699	25,6775356549949
26/07/2016	10:32:49	732	63,891	25,7791078067349
26/07/2016	10:32:50	187	64,346	25,6436575246194
26/07/2016	10:32:50	411	64,57	25,7057595011325
26/07/2016	10:32:50	568	64,727	25,6380101597795
26/07/2016	10:32:50	681	64,84	25,6549513886014
26/07/2016	10:32:50	949	65,108	25,6210663333422
26/07/2016	10:32:51	333	65,492	25,6267145641846
26/07/2016	10:32:51	549	65,708	25,6493046008787
26/07/2016	10:32:51	757	65,916	25,6775356549949
26/07/2016	10:32:52	116	66,275	25,6605978878308
26/07/2016	10:32:52	369	66,528	25,6605978878308
26/07/2016	10:32:52	431	66,59	25,6944708272868
26/07/2016	10:32:52	808	66,967	25,7339761447267
26/07/2016	10:32:52	934	67,093	25,6605978878308
26/07/2016	10:32:53	313	67,472	25,7734673558209
26/07/2016	10:32:53	469	67,628	25,6210663333422
26/07/2016	10:32:53	615	67,774	25,7396186096182
26/07/2016	10:32:53	936	68,095	25,6605978878308
26/07/2016	10:32:54	077	68,236	25,7057595011325
26/07/2016	10:32:54	424	68,583	25,6662440986104
26/07/2016	10:32:54	862	69,021	25,6888260581028
26/07/2016	10:32:54	929	69,088	25,6662440986104
26/07/2016	10:32:55	236	69,395	25,6888260581028
26/07/2016	10:32:55	613	69,772	25,6493046008787
26/07/2016	10:32:55	797	69,956	25,6605978878308
26/07/2016	10:32:56	197	70,356	25,671890020984
26/07/2016	10:32:56	544	70,703	25,5984705219893
26/07/2016	10:32:56	800	70,959	25,6380101597795
26/07/2016	10:32:56	855	71,014	25,575870087768
26/07/2016	10:32:57	126	71,285	25,575870087768
26/07/2016	10:32:57	262	71,421	25,6662440986104
26/07/2016	10:32:57	663	71,822	25,5984705219893
26/07/2016	10:32:57	787	71,946	25,575870087768
26/07/2016	10:32:57	968	72,127	25,5871708829118
26/07/2016	10:32:58	552	72,711	25,45148494073
26/07/2016	10:32:58	701	72,86	25,491077239269
26/07/2016	10:32:59	065	73,224	25,4797666034333
26/07/2016	10:32:59	348	73,507	25,4571418532307
26/07/2016	10:32:59	610	73,769	25,513695034164
26/07/2016	10:32:59	800	73,959	25,5928208469371
26/07/2016	10:33:00	191	74,35	25,5250021939246
26/07/2016	10:33:00	446	74,605	25,4967321225241
26/07/2016	10:33:00	679	74,838	25,5306553395365
26/07/2016	10:33:00	846	75,005	25,519348758815
26/07/2016	10:33:01	177	75,336	25,4741108507649
26/07/2016	10:33:01	326	75,485	25,5080410199278
26/07/2016	10:33:02	081	76,24	25,4797666034333
26/07/2016	10:33:02	375	76,534	25,5080410199278
26/07/2016	10:33:02	660	76,819	25,5419607624424
26/07/2016	10:33:02	765	76,924	25,5871708829118
26/07/2016	10:33:03	132	77,291	25,547613039824
26/07/2016	10:33:03	316	77,475	25,5419607624424
26/07/2016	10:33:03	682	77,841	25,5984705219893
26/07/2016	10:33:03	817	77,976	25,6380101597795
26/07/2016	10:33:04	016	78,175	25,6323625063158
26/07/2016	10:33:04	398	78,557	25,6267145641846
26/07/2016	10:33:04	719	78,878	25,6944708272868
26/07/2016	10:33:04	857	79,016	25,5984705219893
26/07/2016	10:33:05	287	79,446	25,5419607624424
26/07/2016	10:33:05	432	79,591	25,5702192565619
26/07/2016	10:33:05	792	79,951	25,4797666034333
26/07/2016	10:33:05	914	80,073	25,5080410199278
26/07/2016	10:33:06	098	80,257	25,491077239269
26/07/2016	10:33:06	412	80,571	25,519348758815
26/07/2016	10:33:06	626	80,785	25,5589167266632
26/07/2016	10:33:06	762	80,921	25,5928208469371
26/07/2016	10:33:06	874	81,033	25,513695034164
26/07/2016	10:33:07	313	81,472	25,491077239269
26/07/2016	10:33:07	519	81,678	25,513695034164
26/07/2016	10:33:07	910	82,069	25,6549513886014
