Test : Start of hold value,"200.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"0.00000","1.16631","0.00178","29.64571","-0.00001","0.01561"
"0.10000","1.16635","-0.02748","29.70338","-0.00001","-0.24105"
"0.20000","1.16648","-0.06842","29.70338","-0.00001","-0.60013"
"0.30000","1.16670","-0.10593","29.70338","-0.00001","-0.92911"
"0.40000","1.16707","-0.14512","29.70338","0.00000","-1.27284"
"0.50000","1.16819","-0.15652","29.70338","0.00001","-1.37283"
"0.60000","1.17140","-0.16116","29.70338","0.00004","-1.41357"
"0.70000","1.17207","-0.17774","29.73921","0.00005","-1.55896"
"0.80000","1.17265","-0.17862","29.73921","0.00005","-1.56671"
"0.90000","1.17367","-0.17546","29.73921","0.00006","-1.53896"
"1.00000","1.17456","-0.17956","29.73921","0.00007","-1.57498"
"1.10000","1.17535","-0.18635","29.73921","0.00008","-1.63456"
"1.20000","1.17617","-0.20601","29.73921","0.00009","-1.80697"
"1.30000","1.17699","-0.21866","29.75029","0.00010","-1.91789"
"1.40000","1.17777","-0.21277","29.75029","0.00010","-1.86626"
"1.50000","1.17859","-0.20561","29.75029","0.00011","-1.80346"
"1.60000","1.17941","-0.18017","29.75029","0.00012","-1.58035"
"1.70000","1.18028","-0.16337","29.75029","0.00013","-1.43297"
"1.80000","1.18116","-0.13001","29.73022","0.00014","-1.14039"
"1.90000","1.18202","-0.09280","29.73022","0.00015","-0.81399"
"2.00000","1.18290","-0.06236","29.73022","0.00016","-0.54694"
"2.10000","1.18370","-0.03531","29.73022","0.00016","-0.30970"
"2.20000","1.18447","-0.02516","29.73022","0.00017","-0.22065"
"2.30000","1.18527","-0.01672","29.73022","0.00018","-0.14666"
"2.40000","1.18610","0.00362","29.67591","0.00019","0.03171"
"2.50000","1.18690","0.02441","29.67591","0.00019","0.21413"
"2.60000","1.18772","0.04092","29.67591","0.00020","0.35888"
"2.70000","1.18863","0.06280","29.67591","0.00021","0.55081"
"2.80000","1.18952","0.09137","29.67591","0.00022","0.80143"
"2.90000","1.19039","0.12140","29.67591","0.00023","1.06483"
"3.00000","1.19120","0.15754","29.65416","0.00024","1.38186"
"3.10000","1.19197","0.17924","29.65416","0.00024","1.57214"
"3.20000","1.19282","0.20005","29.65416","0.00025","1.75471"
"3.30000","1.19361","0.21876","29.65416","0.00026","1.91882"
"3.40000","1.19443","0.23544","29.65416","0.00027","2.06511"
"3.50000","1.19527","0.25279","29.65416","0.00028","2.21725"
"3.60000","1.19614","0.28583","29.64544","0.00029","2.50705"
