Test : Start of hold value,"200.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"0.00000","4.92265","-0.02013","24.96641","-0.00001","-0.17655"
"0.10000","4.92278","-0.02920","24.96641","-0.00001","-0.25612"
"0.20000","4.92333","-0.02543","24.96641","0.00000","-0.22304"
"0.30000","4.92780","0.00662","24.96641","0.00004","0.05808"
"0.40000","4.93270","0.05063","24.96641","0.00009","0.44411"
"0.50000","4.93452","0.07880","24.96504","0.00011","0.69119"
"0.60000","4.93738","0.11041","24.96504","0.00013","0.96844"
"0.70000","4.93945","0.14598","24.96504","0.00015","1.28041"
"0.80000","4.94198","0.16362","24.96504","0.00018","1.43514"
"0.90000","4.94493","0.18260","24.96504","0.00021","1.60162"
"1.00000","4.94702","0.19087","24.96785","0.00023","1.67415"
"1.10000","4.94944","0.20029","24.96785","0.00025","1.75679"
"1.20000","4.95236","0.21206","24.96785","0.00028","1.86005"
"1.30000","4.95461","0.21707","24.96785","0.00030","1.90396"
"1.40000","4.95691","0.23502","24.96785","0.00032","2.06143"
"1.50000","4.95985","0.25512","24.96762","0.00035","2.23773"
"1.60000","4.96227","0.29017","24.96762","0.00037","2.54519"
"1.70000","4.96442","0.31581","24.96762","0.00039","2.77002"
"1.80000","4.96722","0.35691","24.96762","0.00042","3.13057"
"1.90000","4.96988","0.40649","24.96762","0.00044","3.56543"
"2.00000","4.97200","0.41170","24.96762","0.00046","3.61115"
"2.10000","4.97466","0.44711","24.96515","0.00049","3.92172"
"2.20000","4.97740","0.46514","24.96515","0.00052","4.07986"
"2.30000","4.97953","0.47508","24.96515","0.00054","4.16699"
"2.40000","4.98201","0.48559","24.96515","0.00056","4.25924"
"2.50000","4.98481","0.48652","24.96515","0.00059","4.26740"
"2.60000","4.98704","0.51737","24.96715","0.00061","4.53793"
"2.70000","4.98939","0.53073","24.96715","0.00063","4.65519"
"2.80000","4.99226","0.56779","24.96715","0.00066","4.98022"
"2.90000","4.99459","0.60846","24.96715","0.00068","5.33695"
"3.00000","4.99688","0.64353","24.96715","0.00070","5.64452"
"3.10000","4.99966","0.69674","24.96715","0.00073","6.11126"
"3.20000","5.00217","0.71568","24.96825","0.00075","6.27739"
"3.30000","5.00444","0.74467","24.96825","0.00077","6.53162"
"3.40000","5.00717","0.77021","24.96825","0.00080","6.75572"
"3.50000","5.00985","0.78393","24.96825","0.00082","6.87604"
"3.60000","5.01199","0.79408","24.96825","0.00084","6.96504"
"3.70000","5.01465","0.80588","24.96993","0.00087","7.06852"
"3.80000","5.01750","0.82909","24.96993","0.00090","7.27213"
"3.90000","5.01959","0.84783","24.96993","0.00092","7.43653"
"4.00000","5.02210","0.87699","24.96993","0.00094","7.69231"
"4.10000","5.02507","0.92198","24.96993","0.00097","8.08693"
"4.20000","5.02717","0.95589","24.96993","0.00099","8.38436"
"4.30000","5.02949","0.99614","24.97022","0.00101","8.73740"
"4.40000","5.03244","1.04479","24.97022","0.00104","9.16407"
"4.50000","5.03472","1.06406","24.97022","0.00106","9.33313"
"4.60000","5.03690","1.09354","24.97022","0.00108","9.59170"
"4.70000","5.03971","1.10866","24.97022","0.00111","9.72430"
"4.80000","5.04232","1.12754","24.96952","0.00113","9.88992"
"4.90000","5.04439","1.12955","24.96952","0.00115","9.90758"
"5.00000","5.04707","1.14374","24.96952","0.00118","10.03202"
"5.10000","5.04989","1.17753","24.96952","0.00121","10.32835"
"5.20000","5.05192","1.19799","24.96952","0.00123","10.50786"
"5.30000","5.05446","1.24319","24.96952","0.00125","10.90433"
"5.40000","5.05749","1.28881","24.97193","0.00128","11.30447"
"5.50000","5.05962","1.32737","24.97193","0.00130","11.64267"
"5.60000","5.06190","1.36880","24.97193","0.00132","12.00606"
"5.70000","5.06496","1.40889","24.97193","0.00135","12.35765"
"5.80000","5.06728","1.43155","24.97193","0.00137","12.55646"
"5.90000","5.06936","1.44730","24.97248","0.00139","12.69455"
"6.00000","5.07228","1.45914","24.97248","0.00142","12.79844"
"6.10000","5.07491","1.49194","24.97248","0.00144","13.08610"
"6.20000","5.07694","1.47794","24.97248","0.00146","12.96335"
"6.30000","5.07954","1.51198","24.97248","0.00149","13.26189"
"6.40000","5.08240","1.54078","24.97248","0.00152","13.51457"
"6.50000","5.08443","1.57493","24.97460","0.00154","13.81406"
"6.60000","5.08687","1.62610","24.97460","0.00156","14.26290"
"6.70000","5.08986","1.67319","24.97460","0.00159","14.67593"
"6.80000","5.09203","1.70852","24.97460","0.00161","14.98583"
"6.90000","5.09434","1.74290","24.97460","0.00163","15.28739"
"7.00000","5.09730","1.76749","24.98029","0.00166","15.50303"
"7.10000","5.09971","1.78541","24.98029","0.00168","15.66023"
"7.20000","5.10190","1.79201","24.98029","0.00170","15.71816"
"7.30000","5.10475","1.81083","24.98029","0.00173","15.88320"
"7.40000","5.10736","1.82908","24.98029","0.00175","16.04327"
"7.50000","5.10950","1.85231","24.98029","0.00177","16.24702"
"7.60000","5.11226","1.88561","24.98280","0.00180","16.53915"
"7.70000","5.11496","1.92161","24.98280","0.00183","16.85491"
"7.80000","5.11706","1.96197","24.98280","0.00185","17.20890"
"7.90000","5.11968","2.01172","24.98280","0.00187","17.64528"
"8.00000","5.12253","2.05533","24.98280","0.00190","18.02774"
"8.10000","5.12461","2.08069","24.98196","0.00192","18.25016"
"8.20000","5.12710","2.10234","24.98196","0.00194","18.44007"
"8.30000","5.12994","2.12503","24.98196","0.00197","18.63914"
"8.40000","5.13211","2.13457","24.98196","0.00199","18.72276"
"8.50000","5.13443","2.16634","24.98196","0.00201","19.00142"
"8.60000","5.13732","2.17057","24.98196","0.00204","19.03856"
"8.70000","5.13966","2.18978","24.98313","0.00206","19.20704"
"8.80000","5.14187","2.22023","24.98313","0.00208","19.47409"
"8.90000","5.14472","2.26290","24.98313","0.00211","19.84836"
"9.00000","5.14726","2.30896","24.98313","0.00213","20.25243"
"9.10000","5.14941","2.34528","24.98313","0.00215","20.57094"
"9.20000","5.15213","2.37926","24.98323","0.00218","20.86900"
"9.30000","5.15489","2.42411","24.98323","0.00221","21.26240"
"9.40000","5.15699","2.43811","24.98323","0.00223","21.38524"
"9.50000","5.15955","2.45503","24.98323","0.00225","21.53366"
"9.60000","5.16252","2.47424","24.98323","0.00228","21.70213"
"9.70000","5.16455","2.48841","24.98323","0.00230","21.82642"
"9.80000","5.16700","2.49587","24.98372","0.00232","21.89181"
"9.90000","5.17001","2.52727","24.98372","0.00235","22.16722"
"10.00000","5.17215","2.56134","24.98372","0.00237","22.46610"
"10.10000","5.17439","2.60328","24.98372","0.00239","22.83392"
"10.20000","5.17732","2.64806","24.98372","0.00242","23.22675"
"10.30000","5.17975","2.69325","24.98784","0.00244","23.62310"
"10.40000","5.18183","2.71543","24.98784","0.00246","23.81763"
"10.50000","5.18457","2.75043","24.98784","0.00249","24.12464"
"10.60000","5.18739","2.77485","24.98784","0.00252","24.33883"
"10.70000","5.18939","2.77937","24.98784","0.00254","24.37848"
"10.80000","5.19194","2.79289","24.98784","0.00256","24.49704"
"10.90000","5.19488","2.81561","24.98537","0.00259","24.69630"
"11.00000","5.19702","2.82837","24.98537","0.00261","24.80829"
"11.10000","5.19944","2.86135","24.98537","0.00263","25.09752"
"11.20000","5.20250","2.89799","24.98537","0.00266","25.41896"
"11.30000","5.20468","2.93938","24.98537","0.00268","25.78192"
"11.40000","5.20690","2.97096","24.98467","0.00270","26.05898"
"11.50000","5.20995","3.01949","24.98467","0.00273","26.48463"
"11.60000","5.21236","3.05531","24.98467","0.00275","26.79883"
"11.70000","5.21443","3.07106","24.98467","0.00277","26.93692"
"11.80000","5.21736","3.09629","24.98467","0.00280","27.15825"
"11.90000","5.21998","3.10769","24.98467","0.00283","27.25824"
"12.00000","5.22196","3.10684","24.98703","0.00285","27.25077"
"12.10000","5.22462","3.13028","24.98703","0.00287","27.45642"
"12.20000","5.22747","3.16242","24.98703","0.00290","27.73828"
"12.30000","5.22950","3.19286","24.98703","0.00292","28.00532"
"12.40000","5.23191","3.21976","24.98703","0.00294","28.24127"
"12.50000","5.23492","3.27355","24.99200","0.00297","28.71308"
"12.60000","5.23707","3.30741","24.99200","0.00299","29.01004"
"12.70000","5.23931","3.33723","24.99200","0.00301","29.27158"
"12.80000","5.24225","3.37857","24.99200","0.00304","29.63415"
"12.90000","5.24472","3.39384","24.99200","0.00306","29.76813"
"13.00000","5.24688","3.40750","24.99200","0.00308","29.88791"
"13.10000","5.24970","3.42299","24.99151","0.00311","30.02383"
"13.20000","5.25237","3.43735","24.99151","0.00314","30.14972"
"13.30000","5.25445","3.44837","24.99151","0.00316","30.24640"
"13.40000","5.25712","3.48295","24.99151","0.00318","30.54975"
"13.50000","5.26003","3.52506","24.99151","0.00321","30.91905"
"13.60000","5.26203","3.55916","24.99151","0.00323","31.21815"
"13.70000","5.26457","3.60287","24.99133","0.00325","31.60155"
"13.80000","5.26740","3.63916","24.99133","0.00328","31.91990"
"13.90000","5.26958","3.67205","24.99133","0.00330","32.20837"
"14.00000","5.27198","3.69286","24.99133","0.00332","32.39088"
"14.10000","5.27479","3.70829","24.99133","0.00335","32.52625"
"14.20000","5.27708","3.72400","24.99061","0.00337","32.66401"
"14.30000","5.27938","3.73334","24.99061","0.00339","32.74595"
"14.40000","5.28221","3.75291","24.99061","0.00342","32.91759"
"14.50000","5.28468","3.77527","24.99061","0.00344","33.11375"
"14.60000","5.28692","3.80167","24.99061","0.00347","33.34531"
"14.70000","5.28964","3.84259","24.99061","0.00349","33.70420"
"14.80000","5.29221","3.89054","24.99006","0.00352","34.12476"
"14.90000","5.29447","3.92104","24.99006","0.00354","34.39235"
"15.00000","5.29712","3.95976","24.99006","0.00356","34.73191"
"15.10000","5.29983","3.98254","24.99006","0.00359","34.93177"
"15.20000","5.30202","4.00088","24.99006","0.00361","35.09263"
"15.30000","5.30463","4.01915","24.99140","0.00363","35.25290"
"15.40000","5.30757","4.03152","24.99140","0.00366","35.36132"
"15.50000","5.30960","4.04518","24.99140","0.00368","35.48118"
"15.60000","5.31208","4.06260","24.99140","0.00370","35.63399"
"15.70000","5.31502","4.09001","24.99140","0.00373","35.87440"
"15.80000","5.31718","4.13292","24.99140","0.00375","36.25079"
"15.90000","5.31946","4.16609","24.99228","0.00378","36.54171"
"16.00000","5.32237","4.20997","24.99228","0.00380","36.92661"
"16.10000","5.32472","4.24143","24.99228","0.00383","37.20257"
"16.20000","5.32684","4.26431","24.99228","0.00385","37.40326"
"16.30000","5.32970","4.28230","24.99228","0.00387","37.56098"
"16.40000","5.33242","4.30119","24.99424","0.00390","37.72670"
"16.50000","5.33434","4.30758","24.99424","0.00392","37.78272"
"16.60000","5.33696","4.32520","24.99424","0.00394","37.93727"
"16.70000","5.33995","4.34703","24.99424","0.00397","38.12873"
"16.80000","5.34190","4.37400","24.99424","0.00399","38.36531"
"16.90000","5.34434","4.40660","24.99424","0.00401","38.65124"
"17.00000","5.34753","4.45425","24.99628","0.00404","39.06923"
"17.10000","5.34963","4.48539","24.99628","0.00406","39.34236"
"17.20000","5.35185","4.51634","24.99628","0.00408","39.61383"
"17.30000","5.35502","4.55101","24.99628","0.00411","39.91790"
"17.40000","5.35742","4.56469","24.99628","0.00414","40.03794"
"17.50000","5.35930","4.56819","25.00011","0.00415","40.06863"
"17.60000","5.36220","4.59337","25.00011","0.00418","40.28943"
