Test : Start of hold value,"200.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"0.00000","2.79207","0.59023","30.04600","0.00000","5.17701"
"0.10000","2.79206","0.56156","30.04600","0.00000","4.92554"
"0.20000","2.79212","0.52619","30.06124","0.00000","4.61534"
"0.30000","2.79229","0.49575","30.06124","0.00000","4.34832"
"0.40000","2.79379","0.49059","30.06124","0.00002","4.30309"
"0.50000","2.79608","0.50126","30.06124","0.00004","4.39669"
"0.60000","2.79649","0.49377","30.06124","0.00004","4.33101"
"0.70000","2.79705","0.49728","30.06124","0.00005","4.36174"
"0.80000","2.79801","0.51215","30.08426","0.00006","4.49218"
"0.90000","2.79884","0.53897","30.08426","0.00007","4.72741"
"1.00000","2.79958","0.55901","30.08426","0.00007","4.90320"
"1.10000","2.80041","0.58104","30.08426","0.00008","5.09643"
"1.20000","2.80129","0.58512","30.08426","0.00009","5.13221"
"1.30000","2.80223","0.57270","30.10602","0.00010","5.02329"
"1.40000","2.80311","0.53927","30.10602","0.00011","4.73003"
"1.50000","2.80395","0.51514","30.10602","0.00012","4.51844"
"1.60000","2.80475","0.49655","30.10602","0.00012","4.35539"
"1.70000","2.80552","0.47399","30.10602","0.00013","4.15751"
"1.80000","2.80633","0.47409","30.10602","0.00014","4.15836"
"1.90000","2.80713","0.46705","30.11760","0.00015","4.09660"
"2.00000","2.80790","0.48367","30.11760","0.00015","4.24242"
"2.10000","2.80874","0.52195","30.11760","0.00016","4.57813"
"2.20000","2.80963","0.56771","30.11760","0.00017","4.97951"
"2.30000","2.81057","0.61287","30.11760","0.00018","5.37559"
"2.40000","2.81147","0.64714","30.11760","0.00019","5.67617"
"2.50000","2.81226","0.66255","30.10081","0.00020","5.81139"
"2.60000","2.81305","0.66002","30.10081","0.00020","5.78916"
"2.70000","2.81381","0.62994","30.10081","0.00021","5.52534"
"2.80000","2.81460","0.61720","30.10081","0.00022","5.41363"
"2.90000","2.81545","0.59601","30.10081","0.00023","5.22772"
"3.00000","2.81622","0.58974","30.10081","0.00023","5.17277"
"3.10000","2.81707","0.59896","30.07911","0.00024","5.25361"
"3.20000","2.81797","0.62518","30.07911","0.00025","5.48363"
"3.30000","2.81887","0.67321","30.07911","0.00026","5.90491"
"3.40000","2.81979","0.72411","30.07911","0.00027","6.35137"
"3.50000","2.82060","0.77535","30.07911","0.00028","6.80073"
"3.60000","2.82137","0.81816","30.07911","0.00028","7.17626"
"3.70000","2.82217","0.85106","30.06059","0.00029","7.46486"
"3.80000","2.82297","0.86601","30.06059","0.00030","7.59597"
"3.90000","2.82379","0.84624","30.06059","0.00031","7.42258"
"4.00000","2.82462","0.83789","30.06059","0.00032","7.34936"
"4.10000","2.82548","0.80861","30.06059","0.00032","7.09248"
"4.20000","2.82632","0.79732","30.05755","0.00033","6.99344"
"4.30000","2.82726","0.78676","30.05755","0.00034","6.90085"
"4.40000","2.82816","0.80149","30.05755","0.00035","7.03004"
"4.50000","2.82895","0.83166","30.05755","0.00036","7.29466"
"4.60000","2.82971","0.87541","30.05755","0.00037","7.67843"
"4.70000","2.83051","0.91833","30.05755","0.00037","8.05490"
"4.80000","2.83133","0.98137","30.06124","0.00038","8.60782"
"4.90000","2.83217","1.01490","30.06124","0.00039","8.90190"
"5.00000","2.83301","1.03324","30.06124","0.00040","9.06276"
"5.10000","2.83386","1.02573","30.06124","0.00041","8.99689"
"5.20000","2.83474","0.99764","30.06124","0.00041","8.75053"
"5.30000","2.83562","0.96802","30.06124","0.00042","8.49071"
"5.40000","2.83648","0.94661","30.08183","0.00043","8.30295"
"5.50000","2.83724","0.92495","30.08183","0.00044","8.11296"
"5.60000","2.83801","0.92323","30.08183","0.00045","8.09788"
