Time,Extension,Load,Tensile strain (Extension),Temperature: Chamber 3119-600 1 1,Tensile stress
(s),(mm),(N),(mm/mm),(C),(MPa)
"0.00000","1.13561","0.49182","0.00000","120.27256","4.31384"
"0.10000","1.13566","0.48518","0.00000","120.27256","4.25566"
"0.20000","1.13652","0.50884","0.00001","120.27256","4.46312"
"0.30000","1.14034","0.56764","0.00005","120.27256","4.97887"
"0.40000","1.14149","0.58519","0.00006","120.27256","5.13282"
"0.50000","1.14299","0.61329","0.00007","120.27256","5.37933"
"0.60000","1.14482","0.63669","0.00009","120.27122","5.58457"
"0.70000","1.14665","0.65445","0.00011","120.27122","5.74030"
"0.80000","1.14823","0.68382","0.00012","120.27122","5.99791"
"0.90000","1.14978","0.71026","0.00014","120.27122","6.22985"
"1.00000","1.15142","0.73878","0.00016","120.27122","6.47999"
"1.10000","1.15326","0.76772","0.00017","120.26595","6.73382"
"1.20000","1.15514","0.79863","0.00019","120.26595","7.00499"
"1.30000","1.15655","0.83692","0.00021","120.26595","7.34080"
"1.40000","1.15814","0.85721","0.00022","120.26595","7.51875"
"1.50000","1.15982","0.90795","0.00024","120.26595","7.96384"
"1.60000","1.16164","0.94781","0.00026","120.26595","8.31347"
"1.70000","1.16344","0.98984","0.00028","120.26151","8.68213"
"1.80000","1.16486","1.01669","0.00029","120.26151","8.91761"
"1.90000","1.16644","1.03573","0.00030","120.26151","9.08463"
"2.00000","1.16812","1.07317","0.00032","120.26151","9.41302"
"2.10000","1.17001","1.12567","0.00034","120.26151","9.87352"
"2.20000","1.17179","1.13421","0.00036","120.25546","9.94842"
"2.30000","1.17315","1.17718","0.00037","120.25546","10.32527"
"2.40000","1.17478","1.19029","0.00039","120.25546","10.44031"
"2.50000","1.17649","1.24329","0.00040","120.25546","10.90516"
"2.60000","1.17838","1.24451","0.00042","120.25546","10.91584"
"2.70000","1.18008","1.26072","0.00044","120.25546","11.05804"
"2.80000","1.18142","1.28635","0.00045","120.24613","11.28287"
"2.90000","1.18305","1.32073","0.00047","120.24613","11.58440"
"3.00000","1.18479","1.34624","0.00049","120.24613","11.80816"
"3.10000","1.18667","1.39670","0.00050","120.24613","12.25081"
"3.20000","1.18834","1.42203","0.00052","120.24613","12.47296"
"3.30000","1.18971","1.46494","0.00053","120.24038","12.84935"
"3.40000","1.19131","1.49457","0.00055","120.24038","13.10923"
"3.50000","1.19313","1.52485","0.00057","120.24038","13.37479"
"3.60000","1.19501","1.58526","0.00059","120.24038","13.90466"
"3.70000","1.19662","1.61062","0.00060","120.24038","14.12715"
"3.80000","1.19806","1.63757","0.00062","120.24038","14.36349"
"3.90000","1.19967","1.63942","0.00063","120.22961","14.37971"
"4.00000","1.20159","1.68334","0.00065","120.22961","14.76494"
"4.10000","1.20353","1.71777","0.00067","120.22961","15.06691"
"4.20000","1.20499","1.76001","0.00069","120.22961","15.43742"
"4.30000","1.20642","1.77454","0.00070","120.22961","15.56492"
"4.40000","1.20810","1.82446","0.00072","120.22040","16.00274"
"4.50000","1.21001","1.84135","0.00074","120.22040","16.15085"
"4.60000","1.21184","1.89465","0.00075","120.22040","16.61844"
"4.70000","1.21328","1.93480","0.00077","120.22040","16.97054"
"4.80000","1.21476","1.96095","0.00078","120.22040","17.19997"
"4.90000","1.21641","1.99170","0.00080","120.22040","17.46964"
"5.00000","1.21836","2.03712","0.00082","120.20921","17.86803"
"5.10000","1.22018","2.05454","0.00084","120.20921","18.02079"
"5.20000","1.22158","2.08028","0.00085","120.20921","18.24657"
"5.30000","1.22312","2.13112","0.00087","120.20921","18.69253"
"5.40000","1.22477","2.15519","0.00088","120.20921","18.90364"
"5.50000","1.22678","2.20896","0.00090","120.19996","19.37528"
"5.60000","1.22852","2.23857","0.00092","120.19996","19.63501"
"5.70000","1.22981","2.27052","0.00093","120.19996","19.91528"
"5.80000","1.23141","2.29920","0.00095","120.19996","20.16682"
"5.90000","1.23308","2.33517","0.00096","120.19996","20.48233"
"6.00000","1.23500","2.37964","0.00098","120.19996","20.87238"
"6.10000","1.23671","2.39443","0.00100","120.19564","21.00205"
"6.20000","1.23812","2.45469","0.00101","120.19564","21.53061"
"6.30000","1.23970","2.46382","0.00103","120.19564","21.61074"
"6.40000","1.24139","2.50270","0.00105","120.19564","21.95178"
"6.50000","1.24332","2.55579","0.00106","120.19564","22.41742"
"6.60000","1.24498","2.59840","0.00108","120.19439","22.79116"
"6.70000","1.24643","2.61540","0.00110","120.19439","22.94025"
"6.80000","1.24809","2.64251","0.00111","120.19439","23.17803"
"6.90000","1.24985","2.68013","0.00113","120.19439","23.50801"
"7.00000","1.25178","2.74204","0.00115","120.19439","24.05101"
"7.10000","1.25335","2.72433","0.00116","120.19439","23.89573"
"7.20000","1.25478","2.76902","0.00118","120.19784","24.28773"
"7.30000","1.25648","2.79703","0.00120","120.19784","24.53335"
"7.40000","1.25825","2.86026","0.00121","120.19784","25.08796"
"7.50000","1.26011","2.87215","0.00123","120.19784","25.19230"
"7.60000","1.26162","2.88832","0.00125","120.19784","25.33408"
"7.70000","1.26310","2.92410","0.00126","120.20056","25.64792"
"7.80000","1.26476","2.97848","0.00128","120.20056","26.12488"
"7.90000","1.26661","3.00819","0.00130","120.20056","26.38554"
"8.00000","1.26838","3.03747","0.00131","120.20056","26.64229"
"8.10000","1.26993","3.06656","0.00133","120.20056","26.89752"
"8.20000","1.27143","3.11759","0.00134","120.20056","27.34505"
"8.30000","1.27314","3.15031","0.00136","120.20350","27.63205"
"8.40000","1.27500","3.18856","0.00138","120.20350","27.96760"
"8.50000","1.27672","3.22984","0.00140","120.20350","28.32967"
"8.60000","1.27816","3.26991","0.00141","120.20350","28.68107"
"8.70000","1.27970","3.29260","0.00142","120.20350","28.88011"
"8.80000","1.28142","3.31533","0.00144","120.20737","29.07949"
"8.90000","1.28329","3.34407","0.00146","120.20737","29.33159"
"9.00000","1.28493","3.39161","0.00148","120.20737","29.74861"
"9.10000","1.28645","3.42451","0.00149","120.20737","30.03714"
"9.20000","1.28802","3.45467","0.00151","120.20737","30.30172"
"9.30000","1.28974","3.47674","0.00152","120.20737","30.49526"
"9.40000","1.29164","3.51621","0.00154","120.21482","30.84143"
"9.50000","1.29322","3.56203","0.00156","120.21482","31.24337"
"9.60000","1.29476","3.60607","0.00157","120.21482","31.62960"
"9.70000","1.29641","3.64285","0.00159","120.21482","31.95226"
"9.80000","1.29826","3.67710","0.00161","120.21482","32.25269"
"9.90000","1.30019","3.71113","0.00163","120.22543","32.55111"
"10.00000","1.30159","3.72834","0.00164","120.22543","32.70208"
"10.10000","1.30310","3.77307","0.00166","120.22543","33.09447"
"10.20000","1.30482","3.81012","0.00167","120.22543","33.41945"
"10.30000","1.30665","3.84107","0.00169","120.22543","33.69091"
"10.40000","1.30850","3.88518","0.00171","120.22543","34.07780"
"10.50000","1.30988","3.93651","0.00172","120.23043","34.52799"
"10.60000","1.31144","3.94461","0.00174","120.23043","34.59904"
"10.70000","1.31315","3.99230","0.00176","120.23043","35.01738"
"10.80000","1.31501","4.02222","0.00177","120.23043","35.27976"
"10.90000","1.31684","4.06616","0.00179","120.23043","35.66522"
"11.00000","1.31822","4.10295","0.00181","120.23513","35.98790"
"11.10000","1.31979","4.12844","0.00182","120.23513","36.21144"
"11.20000","1.32154","4.15996","0.00184","120.23513","36.48794"
"11.30000","1.32343","4.20539","0.00186","120.23513","36.88643"
"11.40000","1.32513","4.23321","0.00187","120.23513","37.13046"
"11.50000","1.32646","4.25835","0.00189","120.23513","37.35091"
"11.60000","1.32805","4.28840","0.00190","120.24007","37.61452"
"11.70000","1.32984","4.33533","0.00192","120.24007","38.02611"
"11.80000","1.33166","4.35209","0.00194","120.24007","38.17314"
"11.90000","1.33338","4.40295","0.00196","120.24007","38.61927"
"12.00000","1.33478","4.40959","0.00197","120.24007","38.67747"
"12.10000","1.33634","4.45726","0.00198","120.24007","39.09565"
"12.20000","1.33809","4.50428","0.00200","120.24559","39.50806"
"12.30000","1.33999","4.53961","0.00202","120.24559","39.81796"
"12.40000","1.34171","4.57008","0.00204","120.24559","40.08520"
"12.50000","1.34309","4.58111","0.00205","120.24559","40.18198"
"12.60000","1.34468","4.61826","0.00207","120.24559","40.50780"
"12.70000","1.34657","4.68032","0.00209","120.24286","41.05211"
"12.80000","1.34850","4.70939","0.00210","120.24286","41.30708"
"12.90000","1.35002","4.73345","0.00212","120.24286","41.51811"
"13.00000","1.35147","4.76652","0.00213","120.24286","41.80818"
"13.10000","1.35307","4.81935","0.00215","120.24286","42.27161"
"13.20000","1.35493","4.84459","0.00217","120.24286","42.49295"
"13.30000","1.35681","4.87372","0.00219","120.24387","42.74847"
"13.40000","1.35831","4.91327","0.00220","120.24387","43.09539"
"13.50000","1.35979","4.94236","0.00222","120.24387","43.35052"
"13.60000","1.36135","4.99260","0.00223","120.24387","43.79121"
"13.70000","1.36324","5.01851","0.00225","120.24387","44.01850"
"13.80000","1.36514","5.07566","0.00227","120.24191","44.51974"
"13.90000","1.36661","5.10603","0.00228","120.24191","44.78611"
"14.00000","1.36811","5.13837","0.00230","120.24191","45.06978"
"14.10000","1.36974","5.16344","0.00231","120.24191","45.28970"
"14.20000","1.37160","5.21179","0.00233","120.24191","45.71378"
"14.30000","1.37344","5.25087","0.00235","120.24191","46.05655"
"14.40000","1.37486","5.27808","0.00237","120.23454","46.29522"
"14.50000","1.37639","5.30815","0.00238","120.23454","46.55901"
"14.60000","1.37801","5.36472","0.00240","120.23454","47.05514"
"14.70000","1.37991","5.39644","0.00242","120.23454","47.33340"
"14.80000","1.38172","5.41037","0.00243","120.23454","47.45554"
"14.90000","1.38313","5.44300","0.00245","120.22333","47.74176"
"15.00000","1.38471","5.47572","0.00246","120.22333","48.02879"
"15.10000","1.38636","5.51207","0.00248","120.22333","48.34762"
"15.20000","1.38822","5.55348","0.00250","120.22333","48.71078"
"15.30000","1.39003","5.56218","0.00252","120.22333","48.78712"
"15.40000","1.39148","5.62793","0.00253","120.22333","49.36379"
"15.50000","1.39312","5.65060","0.00255","120.21558","49.56270"
"15.60000","1.39486","5.70815","0.00256","120.21558","50.06744"
"15.70000","1.39676","5.71517","0.00258","120.21558","50.12907"
"15.80000","1.39839","5.78601","0.00260","120.21558","50.75041"
"15.90000","1.39982","5.79172","0.00261","120.21558","50.80043"
"16.00000","1.40149","5.82623","0.00263","120.21558","51.10320"
"16.10000","1.40328","5.88994","0.00265","120.20944","51.66195"
"16.20000","1.40506","5.90254","0.00266","120.20944","51.77253"
"16.30000","1.40670","5.92973","0.00268","120.20944","52.01102"
"16.40000","1.40814","5.98153","0.00269","120.20944","52.46530"
"16.50000","1.40984","5.99530","0.00271","120.20944","52.58612"
"16.60000","1.41161","6.02023","0.00273","120.20231","52.80479"
"16.70000","1.41342","6.07129","0.00275","120.20231","53.25260"
"16.80000","1.41499","6.14352","0.00276","120.20231","53.88618"
"16.90000","1.41648","6.16803","0.00278","120.20231","54.10120"
"17.00000","1.41821","6.18631","0.00279","120.20231","54.26150"
"17.10000","1.42002","6.24389","0.00281","120.20231","54.76657"
"17.20000","1.42169","6.29658","0.00283","120.19624","55.22870"
"17.30000","1.42325","6.32975","0.00284","120.19624","55.51965"
"17.40000","1.42478","6.35133","0.00286","120.19624","55.70892"
"17.50000","1.42647","6.37294","0.00288","120.19624","55.89846"
"17.60000","1.42828","6.42649","0.00289","120.19624","56.36817"
"17.70000","1.42992","6.45430","0.00291","120.18702","56.61210"
"17.80000","1.43150","6.49765","0.00293","120.18702","56.99233"
"17.90000","1.43303","6.52749","0.00294","120.18702","57.25406"
"18.00000","1.43479","6.56318","0.00296","120.18702","57.56713"
"18.10000","1.43667","6.59631","0.00298","120.18702","57.85772"
"18.20000","1.43824","6.64637","0.00299","120.18702","58.29679"
"18.30000","1.43981","6.70135","0.00301","120.18191","58.77901"
"18.40000","1.44147","6.70952","0.00302","120.18191","58.85068"
"18.50000","1.44324","6.72767","0.00304","120.18191","59.00989"
"18.60000","1.44514","6.77977","0.00306","120.18191","59.46690"
"18.70000","1.44659","6.81833","0.00307","120.18191","59.80513"
"18.80000","1.44817","6.82393","0.00309","120.17528","59.85419"
"18.90000","1.44980","6.86746","0.00311","120.17528","60.23599"
"19.00000","1.45161","6.91066","0.00312","120.17528","60.61493"
"19.10000","1.45348","6.98207","0.00314","120.17528","61.24128"
"19.20000","1.45488","6.98345","0.00316","120.17528","61.25344"
"19.30000","1.45645","7.01369","0.00317","120.17528","61.51868"
"19.40000","1.45808","7.03992","0.00319","120.16809","61.74873"
"19.50000","1.45993","7.09158","0.00321","120.16809","62.20184"
"19.60000","1.46179","7.11390","0.00323","120.16809","62.39760"
"19.70000","1.46317","7.15402","0.00324","120.16809","62.74955"
"19.80000","1.46474","7.19148","0.00325","120.16809","63.07807"
"19.90000","1.46651","7.24697","0.00327","120.16388","63.56479"
"20.00000","1.46833","7.24119","0.00329","120.16388","63.51412"
"20.10000","1.47006","7.29642","0.00331","120.16388","63.99852"
"20.20000","1.47146","7.34778","0.00332","120.16388","64.44903"
"20.30000","1.47300","7.36651","0.00334","120.16388","64.61333"
"20.40000","1.47476","7.42878","0.00335","120.16388","65.15948"
"20.50000","1.47665","7.46511","0.00337","120.16159","65.47812"
"20.60000","1.47838","7.48597","0.00339","120.16159","65.66108"
"20.70000","1.47974","7.49821","0.00340","120.16159","65.76845"
"20.80000","1.48128","7.54942","0.00342","120.16159","66.21764"
"20.90000","1.48309","7.60708","0.00344","120.16159","66.72337"
"21.00000","1.48500","7.64862","0.00345","120.16159","67.08776"
"21.10000","1.48668","7.67228","0.00347","120.16053","67.29533"
"21.20000","1.48811","7.70470","0.00349","120.16053","67.57969"
"21.30000","1.48969","7.73847","0.00350","120.16053","67.87584"
"21.40000","1.49153","7.75123","0.00352","120.16053","67.98779"
"21.50000","1.49351","7.80571","0.00354","120.16053","68.46566"
"21.60000","1.49504","7.84876","0.00355","120.16261","68.84319"
"21.70000","1.49647","7.87727","0.00357","120.16261","69.09331"
"21.80000","1.49802","7.90411","0.00358","120.16261","69.32875"
"21.90000","1.49993","7.94433","0.00360","120.16261","69.68147"
"22.00000","1.50190","7.99406","0.00362","120.16261","70.11768"
"22.10000","1.50332","8.00912","0.00364","120.16261","70.24975"
"22.20000","1.50479","8.05114","0.00365","120.16440","70.61837"
"22.30000","1.50637","8.07604","0.00367","120.16440","70.83676"
"22.40000","1.50826","8.12078","0.00368","120.16440","71.22921"
"22.50000","1.51027","8.15812","0.00370","120.16440","71.55674"
"22.60000","1.51169","8.17486","0.00372","120.16440","71.70348"
"22.70000","1.51315","8.20458","0.00373","120.16644","71.96421"
"22.80000","1.51475","8.24042","0.00375","120.16644","72.27856"
"22.90000","1.51666","8.28053","0.00377","120.16644","72.63036"
"23.00000","1.51852","8.32324","0.00379","120.16644","73.00503"
"23.10000","1.51991","8.34094","0.00380","120.16644","73.16021"
"23.20000","1.52141","8.37152","0.00381","120.16644","73.42845"
"23.30000","1.52303","8.39398","0.00383","120.17125","73.62547"
"23.40000","1.52491","8.44628","0.00385","120.17125","74.08423"
"23.50000","1.52679","8.50806","0.00387","120.17125","74.62611"
"23.60000","1.52818","8.50759","0.00388","120.17125","74.62197"
"23.70000","1.52972","8.58185","0.00390","120.17125","75.27332"
"23.80000","1.53131","8.57160","0.00391","120.17694","75.18340"
"23.90000","1.53321","8.61646","0.00393","120.17694","75.57687"
"24.00000","1.53513","8.64983","0.00395","120.17694","75.86958"
"24.10000","1.53652","8.67968","0.00396","120.17694","76.13142"
"24.20000","1.53807","8.72555","0.00398","120.17694","76.53377"
"24.30000","1.53977","8.76841","0.00400","120.17694","76.90972"
"24.40000","1.54168","8.83283","0.00402","120.18275","77.47469"
"24.50000","1.54343","8.83290","0.00403","120.18275","77.47537"
"24.60000","1.54487","8.87688","0.00405","120.18275","77.86110"
"24.70000","1.54644","8.88886","0.00406","120.18275","77.96617"
"24.80000","1.54813","8.93139","0.00408","120.18275","78.33922"
"24.90000","1.55003","8.96738","0.00410","120.18655","78.65489"
"25.00000","1.55174","8.99368","0.00411","120.18655","78.88559"
"25.10000","1.55314","9.03959","0.00413","120.18655","79.28822"
"25.20000","1.55475","9.10026","0.00414","120.18655","79.82040"
"25.30000","1.55648","9.12178","0.00416","120.18655","80.00920"
"25.40000","1.55838","9.12149","0.00418","120.18655","80.00665"
"25.50000","1.56002","9.18035","0.00420","120.17867","80.52288"
"25.60000","1.56149","9.17385","0.00421","120.17867","80.46589"
