Time,Extension,Load,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.57943","0.00084","0.00000","0.00734"
"0.10000","0.57957","-0.00032","0.00000","-0.00285"
"0.20000","0.58013","0.00978","0.00000","0.08578"
"0.30000","0.58598","0.08256","0.00002","0.72412"
"0.40000","0.58944","0.13748","0.00003","1.20585"
"0.50000","0.59148","0.16522","0.00004","1.44922"
"0.60000","0.59371","0.19942","0.00004","1.74915"
"0.70000","0.59657","0.23876","0.00005","2.09422"
"0.80000","0.59935","0.27583","0.00006","2.41936"
"0.90000","0.60128","0.30476","0.00007","2.67315"
"1.00000","0.60387","0.34538","0.00008","3.02941"
"1.10000","0.60668","0.37988","0.00008","3.33199"
"1.20000","0.60870","0.40909","0.00009","3.58825"
"1.30000","0.61111","0.44210","0.00010","3.87775"
"1.40000","0.61418","0.48721","0.00011","4.27340"
"1.50000","0.61647","0.51314","0.00011","4.50086"
"1.60000","0.61858","0.54160","0.00012","4.75048"
"1.70000","0.62153","0.58252","0.00013","5.10943"
"1.80000","0.62408","0.61617","0.00014","5.40454"
"1.90000","0.62614","0.64448","0.00015","5.65284"
"2.00000","0.62891","0.68276","0.00015","5.98860"
"2.10000","0.63159","0.71922","0.00016","6.30840"
"2.20000","0.63368","0.74862","0.00017","6.56629"
"2.30000","0.63636","0.78219","0.00018","6.86078"
"2.40000","0.63933","0.82472","0.00019","7.23378"
"2.50000","0.64133","0.85425","0.00019","7.49279"
"2.60000","0.64376","0.88330","0.00020","7.74765"
"2.70000","0.64678","0.93202","0.00021","8.17496"
"2.80000","0.64898","0.95736","0.00022","8.39719"
"2.90000","0.65119","0.98366","0.00022","8.62794"
"3.00000","0.65400","1.02441","0.00023","8.98529"
"3.10000","0.65637","1.05859","0.00024","9.28510"
"3.20000","0.65862","1.08781","0.00025","9.54145"
"3.30000","0.66141","1.12791","0.00026","9.89318"
"3.40000","0.66410","1.16036","0.00026","10.17780"
"3.50000","0.66618","1.19509","0.00027","10.48236"
"3.60000","0.66878","1.22541","0.00028","10.74838"
"3.70000","0.67167","1.26724","0.00029","11.11528"
"3.80000","0.67379","1.29287","0.00029","11.34009"
"3.90000","0.67630","1.33124","0.00030","11.67664"
"4.00000","0.67911","1.36845","0.00031","12.00296"
"4.10000","0.68134","1.39619","0.00032","12.24626"
"4.20000","0.68387","1.43499","0.00033","12.58661"
"4.30000","0.68678","1.47144","0.00034","12.90637"
"4.40000","0.68901","1.50276","0.00034","13.18108"
"4.50000","0.69129","1.53392","0.00035","13.45436"
"4.60000","0.69421","1.57183","0.00036","13.78684"
"4.70000","0.69666","1.60413","0.00037","14.07017"
