Time,Extension,Load,Tensile strain (Extension),Tensile stress,Temperature: Chamber 3119-600 1 1
(s),(mm),(N),(mm/mm),(MPa),(C)
"0.00000","0.00000","-0.00294","0.00000","-0.02579","28.11190"
"0.10000","0.00000","0.00024","0.00000","0.00214","28.11849"
"0.20000","0.00000","-0.00032","0.00000","-0.00279","28.11849"
"0.30000","0.00000","0.00183","0.00000","0.01602","28.11849"
"0.40000","0.00000","-0.00161","0.00000","-0.01412","28.11849"
"0.50000","0.00000","-0.00431","0.00000","-0.03784","28.11849"
"0.60000","0.00000","-0.00101","0.00000","-0.00884","28.11849"
"0.70000","0.00000","-0.00383","0.00000","-0.03356","28.12546"
"0.80000","0.00000","-0.00017","0.00000","-0.00150","28.12546"
"0.90000","0.00000","-0.00512","0.00000","-0.04493","28.12546"
"1.00000","0.00000","0.00072","0.00000","0.00627","28.12546"
"1.10000","0.00000","0.00164","0.00000","0.01438","28.12546"
"1.20000","0.00000","-0.00375","0.00000","-0.03286","28.13434"
"1.30000","0.00000","-0.00616","0.00000","-0.05399","28.13434"
"1.40000","0.00000","0.00527","0.00000","0.04618","28.13434"
"1.50000","0.00000","0.00050","0.00000","0.00434","28.13434"
"1.60000","0.00000","-0.00512","0.00000","-0.04491","28.13434"
"1.70000","0.00000","-0.00643","0.00000","-0.05636","28.13434"
"1.80000","0.00000","-0.00205","0.00000","-0.01799","28.14223"
"1.90000","0.00000","0.00055","0.00000","0.00478","28.14223"
"2.00000","0.00000","-0.00474","0.00000","-0.04157","28.14223"
"2.10000","0.00000","0.00066","0.00000","0.00578","28.14223"
"2.20000","0.00000","0.00166","0.00000","0.01455","28.14223"
"2.30000","0.00000","0.00278","0.00000","0.02438","28.14607"
"2.40000","0.00000","0.00047","0.00000","0.00409","28.14607"
"2.50000","0.00000","-0.00254","0.00000","-0.02230","28.14607"
"2.60000","0.00000","0.00264","0.00000","0.02319","28.14607"
"2.70000","0.00000","0.00187","0.00000","0.01636","28.14607"
"2.80000","0.00000","0.00448","0.00000","0.03933","28.14607"
"2.90000","0.00000","0.00179","0.00000","0.01568","28.14931"
"3.00000","0.00000","-0.00056","0.00000","-0.00495","28.14931"
"3.10000","0.00000","0.00583","0.00000","0.05113","28.14931"
"3.20000","0.00000","0.00092","0.00000","0.00811","28.14931"
"3.30000","0.00000","0.00352","0.00000","0.03087","28.14931"
"3.40000","0.00000","0.00423","0.00000","0.03706","28.15544"
"3.50000","0.00000","-0.00024","0.00000","-0.00213","28.15544"
"3.60000","0.00000","0.00268","0.00000","0.02355","28.15544"
"3.70000","0.00000","0.00023","0.00000","0.00200","28.15544"
"3.80000","0.00000","-0.00115","0.00000","-0.01012","28.15544"
"3.90000","0.00000","0.00450","0.00000","0.03951","28.15544"
"4.00000","0.00000","-0.00229","0.00000","-0.02006","28.16743"
"4.10000","0.00000","0.00491","0.00000","0.04303","28.16743"
"4.20000","0.00000","0.00334","0.00000","0.02926","28.16743"
"4.30000","0.00000","-0.00412","0.00000","-0.03613","28.16743"
"4.40000","0.00000","0.00213","0.00000","0.01871","28.16743"
"4.50000","0.00000","-0.00123","0.00000","-0.01082","28.17609"
"4.60000","0.00000","0.00467","0.00000","0.04096","28.17609"
"4.70000","0.00000","-0.00001","0.00000","-0.00008","28.17609"
"4.80000","0.00000","0.00198","0.00000","0.01734","28.17609"
"4.90000","0.00000","0.00236","0.00000","0.02074","28.17609"
"5.00000","0.00000","-0.00556","0.00000","-0.04878","28.17609"
"5.10000","0.00000","0.00250","0.00000","0.02193","28.18160"
"5.20000","0.00000","-0.00018","0.00000","-0.00159","28.18160"
"5.30000","0.00000","0.00010","0.00000","0.00089","28.18160"
"5.40000","0.00000","0.00415","0.00000","0.03642","28.18160"
"5.50000","0.00000","-0.00179","0.00000","-0.01566","28.18160"
"5.60000","0.00000","0.00388","0.00000","0.03408","28.18488"
"5.70000","0.00000","-0.00162","0.00000","-0.01424","28.18488"
"5.80000","0.00000","-0.00165","0.00000","-0.01449","28.18488"
"5.90000","0.00000","-0.00316","0.00000","-0.02772","28.18488"
"6.00000","0.00000","0.00172","0.00000","0.01513","28.18488"
"6.10000","0.00000","0.00169","0.00000","0.01480","28.18488"
"6.20000","0.00000","-0.00017","0.00000","-0.00145","28.19188"
"6.30000","0.00000","-0.00358","0.00000","-0.03142","28.19188"
"6.40000","0.00000","0.00074","0.00000","0.00648","28.19188"
"6.50000","0.00000","0.00328","0.00000","0.02876","28.19188"
"6.60000","0.00000","-0.00167","0.00000","-0.01467","28.19188"
"6.70000","0.00000","0.00002","0.00000","0.00020","28.19188"
"6.80000","0.00000","0.00179","0.00000","0.01567","28.20251"
"6.90000","0.00000","0.00186","0.00000","0.01629","28.20251"
"7.00000","0.00000","-0.00087","0.00000","-0.00760","28.20251"
"7.10000","0.00000","0.00021","0.00000","0.00184","28.20251"
"7.20000","0.00000","0.00428","0.00000","0.03757","28.20251"
"7.30000","0.00000","-0.00131","0.00000","-0.01151","28.20773"
"7.40000","0.00000","-0.00530","0.00000","-0.04651","28.20773"
"7.50000","0.00000","-0.00599","0.00000","-0.05258","28.20773"
"7.60000","0.00000","0.00643","0.00000","0.05644","28.20773"
"7.70000","0.00000","-0.00299","0.00000","-0.02619","28.20773"
"7.80000","0.00000","0.00060","0.00000","0.00522","28.20773"
"7.90000","0.00000","0.00137","0.00000","0.01201","28.21138"
"8.00000","0.00000","0.00176","0.00000","0.01542","28.21138"
"8.10000","0.00000","0.00275","0.00000","0.02412","28.21138"
"8.20000","0.00000","0.00147","0.00000","0.01289","28.21138"
"8.30000","0.00000","0.00195","0.00000","0.01711","28.21138"
"8.40000","0.00000","-0.00032","0.00000","-0.00277","28.21550"
"8.50000","0.00000","0.00500","0.00000","0.04382","28.21550"
"8.60000","0.00000","0.00181","0.00000","0.01584","28.21550"
"8.70000","0.00000","0.00051","0.00000","0.00450","28.21550"
"8.80000","0.00000","0.00275","0.00000","0.02411","28.21550"
"8.90000","0.00000","0.00261","0.00000","0.02293","28.22277"
"9.00000","0.00000","0.00130","0.00000","0.01138","28.22277"
"9.10000","0.00000","0.00339","0.00000","0.02978","28.22277"
"9.20000","0.00000","0.00147","0.00000","0.01290","28.22277"
"9.30000","0.00000","-0.00037","0.00000","-0.00325","28.22277"
"9.40000","0.00000","0.00446","0.00000","0.03914","28.22277"
"9.50000","0.00000","0.00171","0.00000","0.01504","28.22934"
"9.60000","0.00000","0.00231","0.00000","0.02024","28.22934"
"9.70000","0.00000","-0.00211","0.00000","-0.01847","28.22934"
"9.80000","0.00000","-0.00048","0.00000","-0.00421","28.22934"
"9.90000","0.00000","-0.00182","0.00000","-0.01599","28.22934"
"10.00000","0.00000","-0.00413","0.00000","-0.03624","28.23936"
"10.10000","0.00000","0.00255","0.00000","0.02236","28.23936"
"10.20000","0.00000","0.00483","0.00000","0.04233","28.23936"
"10.30000","0.00000","0.00173","0.00000","0.01517","28.23936"
"10.40000","0.00000","0.00176","0.00000","0.01544","28.23936"
"10.50000","0.00000","0.00229","0.00000","0.02006","28.23936"
"10.60000","0.00000","0.00151","0.00000","0.01326","28.24359"
"10.70000","0.00000","-0.00072","0.00000","-0.00633","28.24359"
"10.80000","0.00000","0.00289","0.00000","0.02532","28.24359"
"10.90000","0.00000","-0.00241","0.00000","-0.02114","28.24359"
"11.00000","0.00000","-0.00138","0.00000","-0.01207","28.24359"
"11.10000","0.00000","0.00146","0.00000","0.01284","28.24748"
"11.20000","0.00000","-0.00039","0.00000","-0.00341","28.24748"
"11.30000","0.00000","0.00283","0.00000","0.02486","28.24748"
"11.40000","0.00000","0.00489","0.00000","0.04285","28.24748"
"11.50000","0.00000","0.00114","0.00000","0.01003","28.24748"
"11.60000","0.00000","-0.00510","0.00000","-0.04473","28.24748"
"11.70000","0.00000","-0.00194","0.00000","-0.01702","28.25506"
"11.80000","0.00000","0.00447","0.00000","0.03918","28.25506"
"11.90000","0.00000","-0.00495","0.00000","-0.04338","28.25506"
"12.00000","0.00000","0.00142","0.00000","0.01242","28.25506"
"12.10000","0.00000","0.00305","0.00000","0.02676","28.25506"
"12.20000","0.00000","-0.00031","0.00000","-0.00270","28.26175"
"12.30000","0.00000","0.00425","0.00000","0.03729","28.26175"
"12.40000","0.00000","0.00455","0.00000","0.03991","28.26175"
"12.50000","0.00000","-0.00197","0.00000","-0.01725","28.26175"
"12.60000","0.00000","0.02252","0.00000","0.19752","28.26175"
"12.70000","0.00000","0.00244","0.00000","0.02139","28.26175"
"12.80000","0.00000","0.00194","0.00000","0.01701","28.26417"
"12.90000","0.00000","-0.00234","0.00000","-0.02053","28.26417"
"13.00000","0.00000","-0.00013","0.00000","-0.00118","28.26417"
"13.10000","0.00000","0.00099","0.00000","0.00865","28.26417"
"13.20000","0.00000","0.00344","0.00000","0.03013","28.26417"
"13.30000","0.00000","0.00388","0.00000","0.03402","28.26738"
"13.40000","0.00000","0.00491","0.00000","0.04308","28.26738"
"13.50000","0.00000","0.00130","0.00000","0.01139","28.26738"
"13.60000","0.00000","0.00170","0.00000","0.01488","28.26738"
"13.70000","0.00000","0.01555","0.00000","0.13635","28.26738"
"13.80000","0.00000","0.00135","0.00000","0.01184","28.26738"
"13.90000","0.00000","0.00461","0.00000","0.04047","28.27501"
"14.00000","0.00000","0.00251","0.00000","0.02199","28.27501"
"14.10000","0.00000","0.00532","0.00000","0.04666","28.27501"
"14.20000","0.00000","0.00039","0.00000","0.00343","28.27501"
"14.30000","0.00000","0.00296","0.00000","0.02598","28.27501"
"14.40000","0.00000","0.00365","0.00000","0.03199","28.28105"
"14.50000","0.00000","0.00358","0.00000","0.03144","28.28105"
"14.60000","0.00000","0.00287","0.00000","0.02514","28.28105"
"14.70000","0.00000","0.00579","0.00000","0.05077","28.28105"
"14.80000","0.00000","-0.00007","0.00000","-0.00058","28.28105"
"14.90000","0.00000","-0.00055","0.00000","-0.00481","28.28751"
"15.00000","0.00000","0.00179","0.00000","0.01571","28.28751"
"15.10000","0.00000","0.00190","0.00000","0.01665","28.28751"
"15.20000","0.00000","0.00021","0.00000","0.00183","28.28751"
"15.30000","0.00000","0.00319","0.00000","0.02797","28.28751"
"15.40000","0.00000","0.00320","0.00000","0.02806","28.28751"
"15.50000","0.00000","0.00682","0.00000","0.05979","28.28773"
"15.60000","0.00000","0.00244","0.00000","0.02143","28.28773"
"15.70000","0.00000","0.00283","0.00000","0.02480","28.28773"
"15.80000","0.00000","-0.00133","0.00000","-0.01168","28.28773"
"15.90000","0.00000","-0.00004","0.00000","-0.00038","28.28773"
"16.00000","0.00000","0.00507","0.00000","0.04444","28.29347"
"16.10000","0.00000","-0.00012","0.00000","-0.00105","28.29347"
"16.20000","0.00000","-0.00278","0.00000","-0.02440","28.29347"
"16.30000","0.00000","0.00304","0.00000","0.02664","28.29347"
"16.40000","0.00000","-0.00111","0.00000","-0.00978","28.29347"
"16.50000","0.00000","-0.00227","0.00000","-0.01990","28.29347"
"16.60000","0.00000","-0.00305","0.00000","-0.02675","28.29743"
"16.70000","0.00000","0.00518","0.00000","0.04541","28.29743"
"16.80000","0.00000","0.00544","0.00000","0.04774","28.29743"
"16.90000","0.00000","-0.00410","0.00000","-0.03595","28.29743"
"17.00000","0.00000","0.00128","0.00000","0.01125","28.29743"
"17.10000","0.00000","0.00300","0.00000","0.02629","28.29743"
"17.20000","0.00000","0.00614","0.00000","0.05383","28.30144"
"17.30000","0.00000","0.00527","0.00000","0.04623","28.30144"
"17.40000","0.00000","0.00522","0.00000","0.04576","28.30144"
"17.50000","0.00000","0.00329","0.00000","0.02883","28.30144"
"17.60000","0.00000","0.00379","0.00000","0.03327","28.30144"
"17.70000","0.00000","0.00226","0.00000","0.01981","28.30762"
"17.80000","0.00000","-0.00345","0.00000","-0.03025","28.30762"
"17.90000","0.00000","0.00400","0.00000","0.03510","28.30762"
"18.00000","0.00000","0.00374","0.00000","0.03277","28.30762"
"18.10000","0.00000","0.00423","0.00000","0.03710","28.30762"
"18.20000","0.00000","-0.00215","0.00000","-0.01888","28.31497"
"18.30000","0.00000","0.00298","0.00000","0.02618","28.31497"
"18.40000","0.00000","0.00702","0.00000","0.06160","28.31497"
"18.50000","0.00000","0.00412","0.00000","0.03611","28.31497"
"18.60000","0.00000","-0.00017","0.00000","-0.00147","28.31497"
"18.70000","0.00000","0.00402","0.00000","0.03529","28.31497"
"18.80000","0.00000","0.00579","0.00000","0.05077","28.31549"
"18.90000","0.00000","0.00178","0.00000","0.01560","28.31549"
"19.00000","0.00000","0.00357","0.00000","0.03131","28.31549"
"19.10000","0.00000","0.00248","0.00000","0.02178","28.31549"
"19.20000","0.00000","0.00184","0.00000","0.01610","28.31549"
"19.30000","0.00000","0.00396","0.00000","0.03477","28.31911"
"19.40000","0.00000","0.00173","0.00000","0.01516","28.31911"
"19.50000","0.00000","0.00729","0.00000","0.06395","28.31911"
