"Test : Start of hold value,""172.00000"",MPa"

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
"0.00000,""9.52525"",""-0.05150"",""25.37812"",""0.00000"",""-0.45175"""
"0.10000,""9.52532"",""-0.03670"",""25.37812"",""0.00000"",""-0.32188"""
"0.20000,""9.52559"",""-0.00892"",""25.37812"",""0.00000"",""-0.07825"""
"0.30000,""9.52688"",""0.04436"",""25.37812"",""0.00001"",""0.38910"""
"0.40000,""9.53195"",""0.09508"",""25.37812"",""0.00006"",""0.83393"""
"0.50000,""9.53346"",""0.12755"",""25.37916"",""0.00007"",""1.11878"""
"0.60000,""9.53457"",""0.12668"",""25.37916"",""0.00008"",""1.11114"""
"0.70000,""9.53635"",""0.12728"",""25.37916"",""0.00010"",""1.11639"""
"0.80000,""9.53834"",""0.12325"",""25.37916"",""0.00012"",""1.08102"""
"0.90000,""9.54013"",""0.11010"",""25.37916"",""0.00013"",""0.96573"""
"1.00000,""9.54151"",""0.10965"",""25.37691"",""0.00014"",""0.96180"""
"1.10000,""9.54300"",""0.11311"",""25.37691"",""0.00016"",""0.99210"""
"1.20000,""9.54479"",""0.13852"",""25.37691"",""0.00017"",""1.21500"""
"1.30000,""9.54675"",""0.18004"",""25.37691"",""0.00019"",""1.57921"""
"1.40000,""9.54848"",""0.21797"",""25.37691"",""0.00021"",""1.91188"""
"1.50000,""9.54984"",""0.26232"",""25.37691"",""0.00022"",""2.30091"""
"1.60000,""9.55136"",""0.29788"",""25.37260"",""0.00023"",""2.61279"""
"1.70000,""9.55318"",""0.32565"",""25.37260"",""0.00025"",""2.85636"""
"1.80000,""9.55516"",""0.34963"",""25.37260"",""0.00027"",""3.06668"""
"1.90000,""9.55679"",""0.34899"",""25.37260"",""0.00028"",""3.06111"""
"2.00000,""9.55811"",""0.33759"",""25.37260"",""0.00030"",""2.96110"""
"2.10000,""9.55967"",""0.32862"",""25.37260"",""0.00031"",""2.88238"""
"2.20000,""9.56150"",""0.32525"",""25.37400"",""0.00033"",""2.85281"""
"2.30000,""9.56352"",""0.33395"",""25.37400"",""0.00035"",""2.92913"""
"2.40000,""9.56509"",""0.35281"",""25.37400"",""0.00036"",""3.09459"""
"2.50000,""9.56647"",""0.37606"",""25.37400"",""0.00037"",""3.29850"""
"2.60000,""9.56799"",""0.41545"",""25.37400"",""0.00039"",""3.64400"""
"2.70000,""9.56978"",""0.46511"",""25.37400"",""0.00040"",""4.07959"""
"2.80000,""9.57178"",""0.51026"",""25.37675"",""0.00042"",""4.47558"""
"2.90000,""9.57338"",""0.53761"",""25.37675"",""0.00044"",""4.71551"""
"3.00000,""9.57477"",""0.56131"",""25.37675"",""0.00045"",""4.92334"""
"3.10000,""9.57631"",""0.56857"",""25.37675"",""0.00046"",""4.98706"""
"3.20000,""9.57812"",""0.56839"",""25.37675"",""0.00048"",""4.98550"""
"3.30000,""9.58010"",""0.56113"",""25.37675"",""0.00050"",""4.92181"""
"3.40000,""9.58163"",""0.55177"",""25.38085"",""0.00051"",""4.83967"""
"3.50000,""9.58303"",""0.55063"",""25.38085"",""0.00052"",""4.82966"""
"3.60000,""9.58463"",""0.56101"",""25.38085"",""0.00054"",""4.92073"""
"3.70000,""9.58650"",""0.59001"",""25.38085"",""0.00055"",""5.17515"""
"3.80000,""9.58845"",""0.63146"",""25.38085"",""0.00057"",""5.53868"""
"3.90000,""9.58999"",""0.67191"",""25.38174"",""0.00059"",""5.89346"""
"4.00000,""9.59145"",""0.71200"",""25.38174"",""0.00060"",""6.24509"""
"4.10000,""9.59304"",""0.75000"",""25.38174"",""0.00061"",""6.57838"""
"4.20000,""9.59494"",""0.78674"",""25.38174"",""0.00063"",""6.90064"""
"4.30000,""9.59688"",""0.79799"",""25.38174"",""0.00065"",""6.99936"""
"4.40000,""9.59829"",""0.80042"",""25.38174"",""0.00066"",""7.02067"""
"4.50000,""9.59981"",""0.78704"",""25.38496"",""0.00068"",""6.90329"""
"4.60000,""9.60151"",""0.77669"",""25.38496"",""0.00069"",""6.81255"""
"4.70000,""9.60333"",""0.78335"",""25.38496"",""0.00071"",""6.87090"""
"4.80000,""9.60512"",""0.78575"",""25.38496"",""0.00073"",""6.89198"""
"4.90000,""9.60659"",""0.81050"",""25.38496"",""0.00074"",""7.10910"""
"5.00000,""9.60813"",""0.83574"",""25.38496"",""0.00075"",""7.33049"""
"5.10000,""9.60988"",""0.88337"",""25.38399"",""0.00077"",""7.74821"""
"5.20000,""9.61172"",""0.93494"",""25.38399"",""0.00079"",""8.20059"""
"5.30000,""9.61348"",""0.97653"",""25.38399"",""0.00080"",""8.56536"""
"5.40000,""9.61494"",""1.00651"",""25.38399"",""0.00081"",""8.82830"""
"5.50000,""9.61647"",""1.02255"",""25.38399"",""0.00083"",""8.96904"""
"5.60000,""9.61825"",""1.03113"",""25.38399"",""0.00084"",""9.04427"""
"5.70000,""9.62003"",""1.03133"",""25.38144"",""0.00086"",""9.04605"""
"5.80000,""9.62166"",""1.01933"",""25.38144"",""0.00088"",""8.94074"""
"5.90000,""9.62322"",""1.02033"",""25.38144"",""0.00089"",""8.94958"""
"6.00000,""9.62484"",""1.02123"",""25.38144"",""0.00090"",""8.95743"""
"6.10000,""9.62657"",""1.04460"",""25.38144"",""0.00092"",""9.16245"""
"6.20000,""9.62831"",""1.07640"",""25.38403"",""0.00094"",""9.44132"""
"6.30000,""9.62988"",""1.12203"",""25.38403"",""0.00095"",""9.84157"""
"6.40000,""9.63144"",""1.16685"",""25.38403"",""0.00097"",""10.23471"""
"6.50000,""9.63309"",""1.20996"",""25.38403"",""0.00098"",""10.61279"""
"6.60000,""9.63493"",""1.24943"",""25.38403"",""0.00100"",""10.95903"""
"6.70000,""9.63671"",""1.27741"",""25.38403"",""0.00101"",""11.20446"""
"6.80000,""9.63823"",""1.29028"",""25.38462"",""0.00103"",""11.31733"""
"6.90000,""9.63977"",""1.28063"",""25.38462"",""0.00104"",""11.23267"""
"7.00000,""9.64147"",""1.27281"",""25.38462"",""0.00106"",""11.16410"""
"7.10000,""9.64340"",""1.27470"",""25.38462"",""0.00107"",""11.18067"""
"7.20000,""9.64508"",""1.27660"",""25.38462"",""0.00109"",""11.19733"""
"7.30000,""9.64651"",""1.28398"",""25.38462"",""0.00110"",""11.26205"""
"7.40000,""9.64813"",""1.31586"",""25.38304"",""0.00112"",""11.54166"""
"7.50000,""9.64990"",""1.35731"",""25.38304"",""0.00113"",""11.90526"""
"7.60000,""9.65175"",""1.40608"",""25.38304"",""0.00115"",""12.33309"""
"7.70000,""9.65334"",""1.45292"",""25.38304"",""0.00117"",""12.74391"""
"7.80000,""9.65477"",""1.49256"",""25.38304"",""0.00118"",""13.09161"""
"7.90000,""9.65642"",""1.52055"",""25.38304"",""0.00119"",""13.33712"""
"8.00000,""9.65825"",""1.52888"",""25.38011"",""0.00121"",""13.41014"""
"8.10000,""9.66016"",""1.53342"",""25.38011"",""0.00123"",""13.44995"""
"8.20000,""9.66172"",""1.52549"",""25.38011"",""0.00124"",""13.38045"""
"8.30000,""9.66309"",""1.51761"",""25.38011"",""0.00125"",""13.31133"""
"8.40000,""9.66475"",""1.51788"",""25.38011"",""0.00127"",""13.31371"""
"8.50000,""9.66662"",""1.53429"",""25.37760"",""0.00129"",""13.45762"""
"8.60000,""9.66845"",""1.56125"",""25.37760"",""0.00130"",""13.69409"""
"8.70000,""9.66994"",""1.60108"",""25.37760"",""0.00132"",""14.04340"""
"8.80000,""9.67133"",""1.63463"",""25.37760"",""0.00133"",""14.33767"""
